epoch,AUC,accuracy,false_negatives,false_positives,loss,lr,sensitivity_at_specificity,specificity_at_sensitivity,true_negatives,true_positives,val_AUC,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_sensitivity_at_specificity,val_specificity_at_sensitivity,val_true_negatives,val_true_positives
0,0.626390278339386,0.7410764694213867,403.0,54.0,0.5541384816169739,0.01,0.13363029062747955,0.11398176103830338,1262.0,46.0,0.7598634958267212,0.7463672161102295,192.0,0.0,0.5201418399810791,0.3125,0.0831858441233635,565.0,0.0
1,0.8140421509742737,0.8147308826446533,251.0,76.0,0.4344724416732788,0.01,0.4142538905143738,0.23404255509376526,1240.0,198.0,0.8232854008674622,0.7873183488845825,161.0,0.0,0.5302664041519165,0.5,0.15221239626407623,565.0,31.0
2,0.9063606858253479,0.8628895282745361,157.0,85.0,0.3194396197795868,0.01,0.6213808655738831,0.5167173147201538,1231.0,292.0,0.9080798029899597,0.463672399520874,5.0,401.0,0.7418308854103088,0.6614583134651184,0.4566371738910675,164.0,187.0
3,0.943725049495697,0.9065155982971191,108.0,57.0,0.24796703457832336,0.01,0.781737208366394,0.6945288777351379,1259.0,341.0,0.8979811668395996,0.8692206144332886,63.0,36.0,0.3354130685329437,0.6614583134651184,0.5097345113754272,529.0,129.0
4,0.9660940766334534,0.9195467233657837,88.0,54.0,0.1948215663433075,0.01,0.8173719644546509,0.8427051901817322,1262.0,361.0,0.8472391366958618,0.3540290594100952,5.0,484.0,1.542009949684143,0.5104166865348816,0.23716814815998077,81.0,187.0
5,0.9779804348945618,0.9416430592536926,56.0,47.0,0.1565530002117157,0.01,0.9265033602714539,0.9316109418869019,1269.0,393.0,0.8874630928039551,0.8718625903129578,44.0,53.0,0.38680994510650635,0.7239583134651184,0.0,512.0,148.0
6,0.97648024559021,0.9461756348609924,50.0,45.0,0.1544485241174698,0.01,0.9198217988014221,0.8966565132141113,1271.0,399.0,0.903313934803009,0.8348745107650757,29.0,96.0,0.46555548906326294,0.6458333134651184,0.49026548862457275,469.0,163.0
7,0.9836557507514954,0.9518413543701172,51.0,34.0,0.13207733631134033,0.01,0.9265033602714539,0.9194529056549072,1282.0,398.0,0.864173173904419,0.883751630783081,85.0,3.0,0.6776573657989502,0.7239583134651184,0.0,562.0,107.0
8,0.9815530180931091,0.9473087787628174,50.0,43.0,0.1400441825389862,0.01,0.9020044803619385,0.8966565132141113,1273.0,399.0,0.8893204927444458,0.8678995966911316,91.0,9.0,0.4616742730140686,0.6614583134651184,0.0,556.0,101.0
9,0.9835441708564758,0.955240786075592,54.0,25.0,0.125796377658844,0.01,0.9376391768455505,0.9414893388748169,1291.0,395.0,0.8364905714988708,0.8295904994010925,129.0,0.0,0.8613452315330505,0.5625,0.0,565.0,63.0
10,0.9937795996665955,0.9716714024543762,30.0,20.0,0.0820327028632164,0.009995002,0.9665924310684204,0.9825227856636047,1296.0,419.0,0.8465201258659363,0.8322324752807617,127.0,0.0,0.816260814666748,0.6510416865348816,0.0,565.0,65.0
11,0.9947273135185242,0.9779036641120911,27.0,12.0,0.06207028403878212,0.009989508,0.9866369962692261,0.9848024249076843,1304.0,422.0,0.8543832898139954,0.8203434348106384,129.0,7.0,0.6856789588928223,0.578125,0.0,558.0,63.0
12,0.9949118494987488,0.9750708341598511,25.0,19.0,0.07054794579744339,0.009983518,0.9844098091125488,0.9840425252914429,1297.0,424.0,0.8805401921272278,0.8956406712532043,69.0,10.0,0.598463237285614,0.6927083134651184,0.0,555.0,123.0
13,0.9929165840148926,0.9711048007011414,32.0,19.0,0.08012828230857849,0.009977033,0.9732739329338074,0.9810030460357666,1297.0,417.0,0.8574715852737427,0.8718625903129578,88.0,9.0,0.6303472518920898,0.6770833134651184,0.0,556.0,104.0
14,0.9941383600234985,0.9711048007011414,26.0,25.0,0.07657834887504578,0.009970054,0.9777283072471619,0.9779635071754456,1291.0,423.0,0.8515394926071167,0.8678995966911316,94.0,6.0,0.9895572662353516,0.6927083134651184,0.0,559.0,98.0
