epoch,AUC,accuracy,false_negatives,false_positives,loss,lr,sensitivity_at_specificity,specificity_at_sensitivity,true_negatives,true_positives,val_AUC,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_sensitivity_at_specificity,val_specificity_at_sensitivity,val_true_negatives,val_true_positives
0,0.6318271160125732,0.7365438938140869,412.0,53.0,0.5511358976364136,0.01,0.10467705875635147,0.13069908320903778,1263.0,37.0,0.7425331473350525,0.7463672161102295,192.0,0.0,0.5235645174980164,0.25,0.19292035698890686,565.0,0.0
1,0.8091748356819153,0.8045325875282288,255.0,90.0,0.4421177804470062,0.01,0.3608017861843109,0.2902735471725464,1226.0,194.0,0.8485527038574219,0.8190224766731262,134.0,3.0,0.43044742941856384,0.5052083134651184,0.34336283802986145,562.0,58.0
2,0.894782304763794,0.8560906648635864,168.0,86.0,0.3378067910671234,0.01,0.576837420463562,0.5159574747085571,1230.0,281.0,0.8956674337387085,0.8375164866447449,123.0,0.0,0.3828490972518921,0.6614583134651184,0.39469027519226074,565.0,69.0
3,0.944980800151825,0.909915030002594,107.0,52.0,0.24484282732009888,0.01,0.7995545864105225,0.6588146090507507,1264.0,342.0,0.9309227466583252,0.8520475625991821,30.0,82.0,0.35059699416160583,0.703125,0.6690265536308289,483.0,162.0
4,0.9604557752609253,0.9291784763336182,75.0,50.0,0.20501162111759186,0.01,0.846325159072876,0.7803951501846313,1266.0,374.0,0.8993454575538635,0.885072648525238,79.0,8.0,0.4691952168941498,0.7291666865348816,0.0,557.0,113.0
5,0.9756882190704346,0.9422096610069275,59.0,43.0,0.1659824550151825,0.01,0.897550106048584,0.8655015230178833,1273.0,390.0,0.8909384608268738,0.7503302693367004,29.0,160.0,0.488457053899765,0.7239583134651184,0.34690266847610474,405.0,163.0
6,0.982557475566864,0.9433428049087524,58.0,42.0,0.14350692927837372,0.01,0.9242761731147766,0.9293313026428223,1274.0,391.0,0.848824679851532,0.7265521883964539,36.0,171.0,0.5782736539840698,0.4895833432674408,0.3575221300125122,394.0,156.0
7,0.9811528921127319,0.9495750665664673,54.0,35.0,0.14259007573127747,0.01,0.9020044803619385,0.9202127456665039,1281.0,395.0,0.8713080286979675,0.8692206144332886,70.0,29.0,0.40334683656692505,0.6354166865348816,0.0,536.0,122.0
8,0.9894344210624695,0.9597733616828918,36.0,35.0,0.10706258565187454,0.01,0.9643652439117432,0.9635258316993713,1281.0,413.0,0.9016730785369873,0.9035667181015015,47.0,26.0,0.31431934237480164,0.7604166865348816,0.39115044474601746,539.0,145.0
9,0.9907476305961609,0.9660056829452515,36.0,24.0,0.09743701666593552,0.01,0.9688196182250977,0.9650455713272095,1292.0,413.0,0.8207873106002808,0.8771466016769409,90.0,3.0,1.6561113595962524,0.6510416865348816,0.0,562.0,102.0
