epoch,AUC,accuracy,false_negatives,false_positives,loss,lr,sensitivity_at_specificity,specificity_at_sensitivity,true_negatives,true_positives,val_AUC,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_sensitivity_at_specificity,val_specificity_at_sensitivity,val_true_negatives,val_true_positives
0,0.6018770337104797,0.7308781743049622,420.0,55.0,0.5657810568809509,0.01,0.06904231756925583,0.11930090934038162,1261.0,29.0,0.7352322936058044,0.7463672161102295,192.0,0.0,0.5543670058250427,0.265625,0.20353981852531433,565.0,0.0
1,0.8084750771522522,0.802832841873169,276.0,72.0,0.4447474479675293,0.01,0.3697104752063751,0.31990882754325867,1244.0,173.0,0.8332411646842957,0.8163804411888123,134.0,5.0,0.46126991510391235,0.5572916865348816,0.18053098022937775,560.0,58.0
2,0.9032863974571228,0.867988646030426,152.0,81.0,0.3272548019886017,0.01,0.6080178022384644,0.511398196220398,1235.0,297.0,0.8967044353485107,0.7701452970504761,31.0,143.0,0.5155235528945923,0.6770833134651184,0.45840707421302795,422.0,161.0
3,0.9496534466743469,0.908781886100769,97.0,64.0,0.2390042245388031,0.01,0.7839643359184265,0.7249240279197693,1252.0,352.0,0.888638436794281,0.844121515750885,114.0,4.0,0.44616541266441345,0.6197916865348816,0.4725663661956787,561.0,78.0
4,0.9569535255432129,0.9195467233657837,88.0,54.0,0.21675613522529602,0.01,0.8151447772979736,0.7393617033958435,1262.0,361.0,0.9041483402252197,0.8811096549034119,63.0,27.0,0.3174196779727936,0.6770833134651184,0.5168141722679138,538.0,129.0
5,0.97508305311203,0.9393767714500427,59.0,48.0,0.16398826241493225,0.01,0.9020044803619385,0.9034954309463501,1268.0,390.0,0.8489214777946472,0.8573315739631653,91.0,17.0,0.44286802411079407,0.5885416865348816,0.0,548.0,101.0
6,0.9856757521629333,0.9631727933883667,35.0,30.0,0.11813891679048538,0.01,0.948775053024292,0.9490881562232971,1286.0,414.0,0.9353843331336975,0.8969616889953613,49.0,29.0,0.32258176803588867,0.7447916865348816,0.6460176706314087,536.0,143.0
7,0.9896113872528076,0.9603399634361267,43.0,27.0,0.10895394533872604,0.01,0.9532294273376465,0.9513677954673767,1289.0,406.0,0.9025167226791382,0.8890356421470642,74.0,10.0,0.503531813621521,0.734375,0.0,555.0,118.0
8,0.9863077402114868,0.952407956123352,49.0,35.0,0.12596461176872253,0.01,0.9175946712493896,0.9262917637825012,1281.0,400.0,0.8635463118553162,0.7450462579727173,37.0,156.0,0.605681300163269,0.609375,0.33097344636917114,409.0,155.0
9,0.9902045130729675,0.9609065055847168,34.0,35.0,0.10778985172510147,0.01,0.955456554889679,0.9597264528274536,1281.0,415.0,0.8661413192749023,0.8784676194190979,87.0,5.0,0.8477323651313782,0.75,0.0,560.0,105.0
