epoch,AUC,accuracy,false_negatives,false_positives,loss,lr,sensitivity_at_specificity,specificity_at_sensitivity,true_negatives,true_positives,val_AUC,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_sensitivity_at_specificity,val_specificity_at_sensitivity,val_true_negatives,val_true_positives
0,0.6520975232124329,0.7331444621086121,377.0,94.0,0.5471241474151611,0.01,0.10690423101186752,0.19680851697921753,1222.0,72.0,0.631835401058197,0.7463672161102295,192.0,0.0,0.5452988147735596,0.1145833358168602,0.1504424810409546,565.0,0.0
1,0.8109510540962219,0.8096317052841187,260.0,76.0,0.43424662947654724,0.01,0.3942093551158905,0.32674771547317505,1240.0,189.0,0.8522078394889832,0.8309115171432495,124.0,4.0,0.410882830619812,0.5104166865348816,0.40353983640670776,561.0,68.0
2,0.9143334031105042,0.8742209672927856,145.0,77.0,0.3050849437713623,0.01,0.6503340601921082,0.6238601803779602,1239.0,304.0,0.9024198055267334,0.845442533493042,115.0,2.0,0.35253894329071045,0.6197916865348816,0.5787610411643982,563.0,77.0
3,0.9441472291946411,0.8985835909843445,111.0,68.0,0.2509279251098633,0.01,0.7483296394348145,0.7218844890594482,1248.0,338.0,0.9105410575866699,0.8956406712532043,58.0,21.0,0.30191782116889954,0.734375,0.3097345232963562,544.0,134.0
4,0.9665407538414001,0.9331444501876831,71.0,47.0,0.19159412384033203,0.01,0.8596882224082947,0.7857142686843872,1269.0,378.0,0.8444413542747498,0.8428005576133728,115.0,4.0,0.7960973978042603,0.6145833134651184,0.0,561.0,77.0
5,0.9757626056671143,0.9342775940895081,69.0,47.0,0.16505317389965057,0.01,0.8864142298698425,0.8761398196220398,1269.0,380.0,0.8292588591575623,0.8612945675849915,85.0,20.0,0.4213106334209442,0.59375,0.21592921018600464,545.0,107.0
6,0.9843699336051941,0.956373929977417,44.0,33.0,0.1309901624917984,0.01,0.942093551158905,0.9376899600028992,1283.0,405.0,0.8821994662284851,0.7040951251983643,26.0,198.0,0.5887823700904846,0.640625,0.3769911527633667,367.0,166.0
7,0.9806273579597473,0.9359773397445679,51.0,62.0,0.1520700752735138,0.01,0.9086859822273254,0.9110942482948303,1254.0,398.0,0.9001659750938416,0.8731836080551147,92.0,4.0,0.4030957520008087,0.6822916865348816,0.0,561.0,100.0
8,0.9886119961738586,0.9620396494865417,41.0,26.0,0.11225391924381256,0.01,0.942093551158905,0.9430091381072998,1290.0,408.0,0.8697685599327087,0.846763551235199,113.0,3.0,0.6366466879844666,0.6302083134651184,0.0,562.0,79.0
9,0.9858847260475159,0.9614731073379517,40.0,28.0,0.11106427013874054,0.01,0.9532294273376465,0.9528875350952148,1288.0,409.0,0.9039315581321716,0.8890356421470642,68.0,16.0,0.5236937999725342,0.7291666865348816,0.0,549.0,124.0
