epoch,AUC,accuracy,false_negatives,false_positives,loss,lr,sensitivity_at_specificity,specificity_at_sensitivity,true_negatives,true_positives,val_AUC,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_sensitivity_at_specificity,val_specificity_at_sensitivity,val_true_negatives,val_true_positives
0,0.6462816596031189,0.735410749912262,387.0,80.0,0.5509037971496582,0.01,0.12026725709438324,0.11246200650930405,1236.0,62.0,0.7314943075180054,0.7529722452163696,187.0,0.0,0.5211381912231445,0.328125,0.18938052654266357,565.0,5.0
1,0.8065482974052429,0.8192634582519531,250.0,69.0,0.43900153040885925,0.01,0.4320712685585022,0.23860181868076324,1247.0,199.0,0.8434457182884216,0.8414795398712158,109.0,11.0,0.39686381816864014,0.5416666865348816,0.2336283177137375,554.0,83.0
2,0.9166883826255798,0.8747875094413757,147.0,74.0,0.3040020763874054,0.01,0.641425371170044,0.5957446694374084,1242.0,302.0,0.900262713432312,0.8229854702949524,42.0,92.0,0.3623450696468353,0.6927083134651184,0.4831858277320862,473.0,150.0
3,0.9517764449119568,0.9104815721511841,96.0,62.0,0.23529982566833496,0.01,0.8062360882759094,0.7416413426399231,1254.0,353.0,0.8765257000923157,0.8916776776313782,76.0,6.0,0.4800005555152893,0.6666666865348816,0.0,559.0,116.0
4,0.9622429609298706,0.9184135794639587,82.0,62.0,0.21136990189552307,0.01,0.8218262791633606,0.8077507615089417,1254.0,367.0,0.9087758660316467,0.8309115171432495,32.0,96.0,0.42973023653030396,0.65625,0.47787609696388245,469.0,160.0
5,0.9757313132286072,0.9405099153518677,58.0,47.0,0.1628342568874359,0.01,0.897550106048584,0.8358662724494934,1269.0,391.0,0.8895372748374939,0.8784676194190979,82.0,10.0,0.5374833941459656,0.7552083134651184,0.0,555.0,110.0
6,0.9730835556983948,0.9422096610069275,58.0,44.0,0.16658727824687958,0.01,0.9020044803619385,0.8822188377380371,1272.0,391.0,0.8476815819740295,0.8745046257972717,81.0,14.0,0.4088927209377289,0.6302083134651184,0.0,551.0,111.0
7,0.9847997426986694,0.9592068195343018,42.0,30.0,0.1214820072054863,0.01,0.9465478658676147,0.9445288777351379,1286.0,407.0,0.9005208611488342,0.8771466016769409,73.0,20.0,0.4198286831378937,0.6666666865348816,0.0,545.0,119.0
8,0.9909864068031311,0.9643059372901917,31.0,32.0,0.09824548661708832,0.01,0.9755011200904846,0.9703647494316101,1284.0,418.0,0.8850342035293579,0.848084568977356,110.0,5.0,0.584384024143219,0.65625,0.0,560.0,82.0
9,0.9931424260139465,0.9688385128974915,29.0,26.0,0.09088079631328583,0.01,0.9688196182250977,0.9658054709434509,1290.0,420.0,0.914850652217865,0.8916776776313782,51.0,31.0,0.3604089319705963,0.7239583134651184,0.47787609696388245,534.0,141.0
10,0.9952182173728943,0.9830028414726257,18.0,12.0,0.05549363046884537,0.009995002,0.9866369962692261,0.9939209818840027,1304.0,431.0,0.8548949956893921,0.8560105562210083,107.0,2.0,0.8015422821044922,0.6510416865348816,0.0,563.0,85.0
11,0.986790120601654,0.9626062512397766,42.0,24.0,0.11293834447860718,0.009989508,0.9510022401809692,0.9521276354789734,1292.0,407.0,0.9013228416442871,0.8797886371612549,74.0,17.0,0.34361836314201355,0.6822916865348816,0.437168151140213,548.0,118.0
12,0.9946994185447693,0.9728045463562012,24.0,24.0,0.07328952848911285,0.009983518,0.9799554347991943,0.978723406791687,1292.0,425.0,0.8755069971084595,0.8665785789489746,96.0,5.0,0.5844146013259888,0.640625,0.0,560.0,96.0
13,0.994818925857544,0.9756373763084412,23.0,20.0,0.06790199130773544,0.009977033,0.9799554347991943,0.9840425252914429,1296.0,426.0,0.8831398487091064,0.8546895384788513,63.0,47.0,0.4102339446544647,0.6302083134651184,0.0,518.0,129.0
14,0.9961254000663757,0.9739376902580261,28.0,18.0,0.06787756085395813,0.009970054,0.9777283072471619,0.9840425252914429,1298.0,421.0,0.8620206713676453,0.8507265448570251,62.0,51.0,0.46656540036201477,0.6041666865348816,0.0,514.0,130.0
15,0.9976856112480164,0.9796034097671509,18.0,18.0,0.05344641953706741,0.009962582,0.993318498134613,0.9878419637680054,1298.0,431.0,0.8495115041732788,0.8692206144332886,91.0,8.0,0.9055731296539307,0.6510416865348816,0.0,557.0,101.0
16,0.9978920817375183,0.9835693836212158,17.0,12.0,0.04749829322099686,0.009954618,0.9977728128433228,0.9924012422561646,1304.0,432.0,0.8584025502204895,0.8916776776313782,76.0,6.0,0.9789702296257019,0.6875,0.0,559.0,116.0
17,0.9965237975120544,0.9875354170799255,11.0,11.0,0.04058007895946503,0.009946164,0.9955456852912903,0.9962006211280823,1305.0,438.0,0.8391361832618713,0.8599736094474792,97.0,9.0,0.9607075452804565,0.6041666865348816,0.0,556.0,95.0
18,0.9994491934776306,0.9864022731781006,9.0,15.0,0.028689661994576454,0.00993722,1.0,0.9962006211280823,1301.0,440.0,0.8652377724647522,0.8916776776313782,70.0,12.0,1.2106646299362183,0.7239583134651184,0.0,553.0,122.0
19,0.9957326650619507,0.9898017048835754,10.0,8.0,0.03956397995352745,0.009927789,0.9910913109779358,0.996960461139679,1308.0,439.0,0.8060610890388489,0.8335534930229187,126.0,0.0,1.201474666595459,0.6354166865348816,0.0,565.0,66.0
20,0.9958053827285767,0.9739376902580261,24.0,22.0,0.06353627145290375,0.009917871,0.9799554347991943,0.9802431464195251,1294.0,425.0,0.8222713470458984,0.7754293084144592,55.0,115.0,0.6365780830383301,0.5416666865348816,0.0,450.0,137.0
21,0.9995253682136536,0.9909348487854004,8.0,8.0,0.02545977756381035,0.009907468,1.0,0.9977203607559204,1308.0,441.0,0.91396564245224,0.9035667181015015,62.0,11.0,0.4487900137901306,0.7291666865348816,0.0,554.0,130.0
22,0.9999839663505554,0.9971671104431152,1.0,4.0,0.006965719163417816,0.009896582,1.0,1.0,1312.0,448.0,0.8804387450218201,0.8903566598892212,70.0,13.0,0.6565862894058228,0.7291666865348816,0.0,552.0,122.0
23,0.9999577403068542,0.998866856098175,2.0,0.0,0.005664322525262833,0.009885214,1.0,1.0,1316.0,447.0,0.8851261734962463,0.886393666267395,46.0,40.0,0.7300497889518738,0.7395833134651184,0.0,525.0,146.0
24,0.9972161650657654,0.9864022731781006,11.0,13.0,0.042217232286930084,0.009873366,0.9977728128433228,0.9946808218955994,1303.0,438.0,0.8632927536964417,0.7040951251983643,31.0,193.0,0.5828450918197632,0.578125,0.38761061429977417,372.0,161.0
25,0.9968351721763611,0.9847025275230408,13.0,14.0,0.047421157360076904,0.00986104,0.9910913109779358,0.9939209818840027,1302.0,436.0,0.8920031785964966,0.8758256435394287,56.0,38.0,0.44585976004600525,0.6979166865348816,0.0,527.0,136.0
26,0.9992519021034241,0.9943342804908752,5.0,5.0,0.023575514554977417,0.009848237,0.9977728128433228,0.9992401003837585,1311.0,444.0,0.880475640296936,0.8890356421470642,71.0,13.0,0.6224857568740845,0.703125,0.0,552.0,121.0
27,0.9999805092811584,0.998866856098175,1.0,1.0,0.005175166297703981,0.00983496,1.0,1.0,1315.0,448.0,0.8885922431945801,0.8731836080551147,44.0,52.0,0.6050408482551575,0.6875,0.0,513.0,148.0
28,0.998502254486084,0.9920679926872253,9.0,5.0,0.023088039830327034,0.00982121,0.9955456852912903,0.9992401003837585,1311.0,440.0,0.8971700072288513,0.8824306726455688,50.0,39.0,0.5979546308517456,0.7135416865348816,0.0,526.0,142.0
29,0.9952563047409058,0.9813030958175659,17.0,16.0,0.05105171352624893,0.00980699,0.9910913109779358,0.9924012422561646,1300.0,432.0,0.8802082538604736,0.8771466016769409,82.0,11.0,0.8782081007957458,0.7552083134651184,0.0,554.0,110.0
30,0.9982263445854187,0.9915013909339905,6.0,9.0,0.026843521744012833,0.009792301,0.993318498134613,0.9992401003837585,1307.0,443.0,0.9137350916862488,0.8890356421470642,51.0,33.0,0.4162689447402954,0.7291666865348816,0.0,532.0,141.0
31,0.9995930194854736,0.9937676787376404,6.0,5.0,0.020869780331850052,0.009777146,0.9977728128433228,0.996960461139679,1311.0,443.0,0.8929802775382996,0.8890356421470642,51.0,33.0,0.635433554649353,0.6979166865348816,0.0,532.0,141.0
32,0.9988381266593933,0.998866856098175,2.0,0.0,0.006118979305028915,0.009761528,0.9977728128433228,1.0,1316.0,447.0,0.8665652275085449,0.9035667181015015,59.0,14.0,0.7552325129508972,0.7291666865348816,0.0,551.0,133.0
33,1.0,1.0,0.0,0.0,0.00075174291850999,0.009745448,1.0,1.0,1316.0,449.0,0.8780097961425781,0.9048877358436584,55.0,17.0,0.7066970467567444,0.734375,0.0,548.0,137.0
34,0.9999721050262451,0.9983002543449402,2.0,1.0,0.005603499244898558,0.009728909,1.0,1.0,1315.0,447.0,0.9045630693435669,0.9048877358436584,46.0,26.0,0.6996342539787292,0.7760416865348816,0.0,539.0,146.0
35,0.9994101524353027,0.9960339665412903,3.0,4.0,0.015257637947797775,0.009711913,1.0,0.9992401003837585,1312.0,446.0,0.8626981377601624,0.886393666267395,76.0,10.0,1.0311275720596313,0.7395833134651184,0.0,555.0,116.0
36,0.9999703764915466,0.9977337121963501,2.0,2.0,0.006072517018765211,0.009694463,1.0,1.0,1314.0,447.0,0.8862047791481018,0.8982827067375183,60.0,17.0,0.8060272932052612,0.765625,0.0,548.0,132.0
37,0.9999738931655884,0.9971671104431152,3.0,2.0,0.006535745225846767,0.009676561,1.0,1.0,1314.0,446.0,0.8931831121444702,0.8929986953735352,50.0,31.0,0.6846271753311157,0.7291666865348816,0.0,534.0,142.0
38,0.9999983906745911,0.9994333982467651,1.0,0.0,0.002371536334976554,0.00965821,1.0,1.0,1316.0,448.0,0.8822226524353027,0.8969616889953613,47.0,31.0,0.6957852244377136,0.7395833134651184,0.0,534.0,145.0
39,0.9999737739562988,0.9977337121963501,3.0,1.0,0.0055648949928581715,0.009639413,1.0,1.0,1315.0,446.0,0.8968519568443298,0.8890356421470642,51.0,33.0,0.7948920130729675,0.7291666865348816,0.0017699114978313446,532.0,141.0
40,0.9925052523612976,0.979036808013916,22.0,15.0,0.07467672228813171,0.009620173,0.9821826219558716,0.9893617033958435,1301.0,427.0,0.8318215608596802,0.848084568977356,108.0,7.0,0.8867745399475098,0.640625,0.0,558.0,84.0
41,0.9979556202888489,0.9903682470321655,8.0,9.0,0.03176966682076454,0.009600492,0.9955456852912903,0.9984802603721619,1307.0,441.0,0.8875874876976013,0.8718625903129578,86.0,11.0,0.6170414686203003,0.71875,0.0,554.0,106.0
