epoch,AUC,accuracy,false_negatives,false_positives,loss,lr,sensitivity_at_specificity,specificity_at_sensitivity,true_negatives,true_positives,val_AUC,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_sensitivity_at_specificity,val_specificity_at_sensitivity,val_true_negatives,val_true_positives
0,0.6638630032539368,0.7348442077636719,390.0,78.0,0.5393549203872681,0.01,0.11135857552289963,0.19680851697921753,1238.0,59.0,0.7880439162254333,0.7463672161102295,192.0,0.0,0.547851026058197,0.3489583432674408,0.1592920422554016,565.0,0.0
1,0.8115645051002502,0.8084985613822937,256.0,82.0,0.438169002532959,0.01,0.38307350873947144,0.2735562324523926,1234.0,193.0,0.853738009929657,0.7965654134750366,153.0,1.0,0.46104273200035095,0.5,0.3292035460472107,564.0,39.0
2,0.8944801092147827,0.8730878233909607,150.0,74.0,0.3343486785888672,0.01,0.6503340601921082,0.4536474049091339,1242.0,299.0,0.9128042459487915,0.845442533493042,114.0,3.0,0.34471601247787476,0.7291666865348816,0.5221238732337952,562.0,78.0
3,0.9432588219642639,0.8963173031806946,108.0,75.0,0.2572750747203827,0.01,0.730512261390686,0.6983282566070557,1241.0,341.0,0.9028623104095459,0.848084568977356,53.0,62.0,0.3369785249233246,0.59375,0.5292035341262817,503.0,139.0
4,0.9605388641357422,0.908781886100769,93.0,68.0,0.2191709578037262,0.01,0.7772828340530396,0.8176291584968567,1248.0,356.0,0.9175838828086853,0.887714684009552,59.0,26.0,0.3051707148551941,0.7135416865348816,0.4654867351055145,539.0,133.0
5,0.9781471490859985,0.9393767714500427,61.0,46.0,0.15485741198062897,0.01,0.9020044803619385,0.8609422445297241,1270.0,388.0,0.9091999530792236,0.8229854702949524,46.0,88.0,0.3590361177921295,0.6614583134651184,0.5557522177696228,477.0,146.0
6,0.9751938581466675,0.9512748122215271,48.0,38.0,0.15072578191757202,0.01,0.9287304878234863,0.8882978558540344,1278.0,401.0,0.8891362547874451,0.8533685803413391,50.0,61.0,0.3624175786972046,0.6614583134651184,0.437168151140213,504.0,142.0
7,0.9836127161979675,0.9484419226646423,57.0,34.0,0.13465771079063416,0.01,0.9220489859580994,0.9171732664108276,1282.0,392.0,0.927037239074707,0.9009246826171875,66.0,9.0,0.3662620484828949,0.734375,0.0,556.0,126.0
8,0.9906428456306458,0.9592068195343018,42.0,30.0,0.10496789216995239,0.01,0.9621380567550659,0.957446813583374,1286.0,407.0,0.8951788544654846,0.8890356421470642,72.0,12.0,0.478873610496521,0.734375,0.0,553.0,120.0
9,0.9920881390571594,0.9682719707489014,30.0,26.0,0.09101086109876633,0.01,0.9665924310684204,0.9734042286872864,1290.0,419.0,0.8520556688308716,0.8665785789489746,101.0,0.0,0.9554454684257507,0.7239583134651184,0.0,565.0,91.0
10,0.9899439215660095,0.9648725390434265,34.0,28.0,0.1047058254480362,0.009995002,0.9621380567550659,0.9665653705596924,1288.0,415.0,0.7659476399421692,0.7952443957328796,155.0,0.0,1.7284338474273682,0.546875,0.0,565.0,37.0
11,0.9920399188995361,0.9716714024543762,28.0,22.0,0.08920688927173615,0.009989508,0.9710467457771301,0.9711246490478516,1294.0,421.0,0.8442707657814026,0.8401585221290588,121.0,0.0,0.8503108620643616,0.6770833134651184,0.0,565.0,71.0
12,0.9934158325195312,0.9784702658653259,26.0,12.0,0.06872672587633133,0.009983518,0.9799554347991943,0.9863221645355225,1304.0,423.0,0.8314434885978699,0.8546895384788513,109.0,1.0,1.046406626701355,0.625,0.0,564.0,83.0
13,0.9930697083473206,0.9767705202102661,26.0,15.0,0.07557229697704315,0.009977033,0.9688196182250977,0.9855623245239258,1301.0,423.0,0.920012891292572,0.9114927053451538,56.0,11.0,0.3859424293041229,0.765625,0.0,554.0,136.0
14,0.9947967529296875,0.9694051146507263,35.0,19.0,0.0781250074505806,0.009970054,0.9777283072471619,0.9734042286872864,1297.0,414.0,0.8812591433525085,0.7688242793083191,32.0,143.0,0.6026864647865295,0.640625,0.4088495671749115,422.0,160.0
