epoch,AUC,accuracy,false_negatives,false_positives,loss,lr,sensitivity_at_specificity,specificity_at_sensitivity,true_negatives,true_positives,val_AUC,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_sensitivity_at_specificity,val_specificity_at_sensitivity,val_true_negatives,val_true_positives
0,0.6361104846000671,0.7240793108940125,387.0,100.0,0.558100700378418,0.01,0.09576837718486786,0.11246200650930405,1216.0,62.0,0.7422151565551758,0.7463672161102295,192.0,0.0,0.5207628607749939,0.2864583432674408,0.17699114978313446,565.0,0.0
1,0.8233428001403809,0.8073654174804688,252.0,88.0,0.4269416332244873,0.01,0.38752785325050354,0.24468085169792175,1228.0,197.0,0.8668049573898315,0.8322324752807617,75.0,52.0,0.4602297842502594,0.5052083134651184,0.4088495671749115,513.0,117.0
2,0.9215438365936279,0.8798866868019104,135.0,77.0,0.29611727595329285,0.01,0.6659242510795593,0.5934650301933289,1239.0,314.0,0.8618131875991821,0.7225891947746277,36.0,174.0,0.5042615532875061,0.5989583134651184,0.3840707838535309,391.0,156.0
3,0.9514853954315186,0.9082152843475342,99.0,63.0,0.2390531599521637,0.01,0.788418710231781,0.7416413426399231,1253.0,350.0,0.8608868718147278,0.8388375043869019,122.0,0.0,0.640059232711792,0.640625,0.0,565.0,70.0
4,0.9614070653915405,0.9133144617080688,86.0,67.0,0.21107134222984314,0.01,0.8084632754325867,0.8328267335891724,1249.0,363.0,0.9030236005783081,0.8758256435394287,57.0,37.0,0.3222846984863281,0.6927083134651184,0.46194690465927124,528.0,135.0
5,0.9720282554626465,0.9274787306785583,78.0,50.0,0.18286971747875214,0.01,0.8530066609382629,0.8472644090652466,1266.0,371.0,0.8952248692512512,0.8969616889953613,75.0,3.0,0.4620208442211151,0.7291666865348816,0.0,562.0,117.0
6,0.9833875894546509,0.956373929977417,41.0,36.0,0.13215988874435425,0.01,0.948775053024292,0.9460486173629761,1280.0,408.0,0.8844395279884338,0.8375164866447449,44.0,79.0,0.40164294838905334,0.65625,0.38230088353157043,486.0,148.0
7,0.9766291975975037,0.9490085244178772,53.0,37.0,0.1514955461025238,0.01,0.9354120492935181,0.9088146090507507,1279.0,396.0,0.8985480666160583,0.8824306726455688,80.0,9.0,0.32026106119155884,0.6979166865348816,0.4725663661956787,556.0,112.0
8,0.9837920665740967,0.952407956123352,53.0,31.0,0.12976160645484924,0.01,0.942093551158905,0.9414893388748169,1285.0,396.0,0.8902148008346558,0.8428005576133728,33.0,86.0,0.4994463324546814,0.7135416865348816,0.21238937973976135,479.0,159.0
9,0.9907875657081604,0.9626062512397766,40.0,26.0,0.10051646828651428,0.01,0.9621380567550659,0.9658054709434509,1290.0,409.0,0.8560978770256042,0.8652576208114624,92.0,10.0,0.8996147513389587,0.6822916865348816,0.0,555.0,100.0
10,0.995587944984436,0.9739376902580261,24.0,22.0,0.0710129514336586,0.009995002,0.9866369962692261,0.9832826852798462,1294.0,425.0,0.9105594754219055,0.8824306726455688,47.0,42.0,0.3349541127681732,0.6979166865348816,0.5044247508049011,523.0,145.0
11,0.9839655756950378,0.9580736756324768,41.0,33.0,0.12271770089864731,0.009989508,0.9532294273376465,0.9521276354789734,1283.0,408.0,0.8757190704345703,0.8652576208114624,99.0,3.0,0.5373057126998901,0.640625,0.0,562.0,93.0
12,0.992215096950531,0.9654390811920166,31.0,30.0,0.09022083878517151,0.009983518,0.9777283072471619,0.9734042286872864,1286.0,418.0,0.8866288065910339,0.9062086939811707,60.0,11.0,0.4123154580593109,0.71875,0.0,554.0,132.0
13,0.9983804225921631,0.9869688153266907,13.0,10.0,0.041614893823862076,0.009977033,0.9910913109779358,0.9977203607559204,1306.0,436.0,0.9049778580665588,0.8916776776313782,48.0,34.0,0.4008631110191345,0.7395833134651184,0.0,531.0,144.0
