epoch,AUC,accuracy,false_negatives,false_positives,loss,lr,sensitivity_at_specificity,specificity_at_sensitivity,true_negatives,true_positives,val_AUC,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_sensitivity_at_specificity,val_specificity_at_sensitivity,val_true_negatives,val_true_positives
0,0.648145854473114,0.7252124547958374,398.0,87.0,0.5488365888595581,0.01,0.07795099914073944,0.1892097294330597,1229.0,51.0,0.7276824712753296,0.7463672161102295,192.0,0.0,0.5261533260345459,0.2708333432674408,0.1592920422554016,565.0,0.0
1,0.8236261010169983,0.8045325875282288,247.0,98.0,0.42829570174217224,0.01,0.3674832880496979,0.3639817535877228,1218.0,202.0,0.8417404294013977,0.8229854702949524,123.0,11.0,0.43344688415527344,0.46875,0.3451327383518219,554.0,69.0
2,0.9061287641525269,0.8815863728523254,148.0,61.0,0.3161900043487549,0.01,0.6726058125495911,0.5060790181159973,1255.0,301.0,0.9198469519615173,0.8731836080551147,40.0,56.0,0.3239169120788574,0.703125,0.5663716793060303,509.0,152.0
3,0.944117546081543,0.9019830226898193,97.0,76.0,0.25024789571762085,0.01,0.7416480779647827,0.7089665532112122,1240.0,352.0,0.8904867172241211,0.8612945675849915,97.0,8.0,0.34429505467414856,0.6302083134651184,0.44247788190841675,557.0,95.0
4,0.9689186215400696,0.9291784763336182,80.0,45.0,0.1886981576681137,0.01,0.8685969114303589,0.835106372833252,1271.0,369.0,0.8950221538543701,0.49273449182510376,8.0,376.0,1.0665297508239746,0.671875,0.4212389290332794,189.0,184.0
5,0.968751072883606,0.9184135794639587,84.0,60.0,0.19165034592151642,0.01,0.8240534663200378,0.8525835871696472,1256.0,365.0,0.9117764234542847,0.8731836080551147,92.0,4.0,0.48438897728919983,0.6927083134651184,0.0,561.0,100.0
6,0.9811020493507385,0.9473087787628174,56.0,37.0,0.1474778652191162,0.01,0.9287304878234863,0.9316109418869019,1279.0,393.0,0.8449713587760925,0.8401585221290588,114.0,7.0,0.6206346750259399,0.6510416865348816,0.0,558.0,78.0
7,0.9833190441131592,0.953541100025177,39.0,43.0,0.12819407880306244,0.01,0.948775053024292,0.9445288777351379,1273.0,410.0,0.8746266961097717,0.8929986953735352,65.0,16.0,0.3884566128253937,0.6770833134651184,0.0,549.0,127.0
8,0.9882447123527527,0.9648725390434265,35.0,27.0,0.10727342963218689,0.01,0.955456554889679,0.9658054709434509,1289.0,414.0,0.8731839656829834,0.6948480606079102,27.0,204.0,0.6913146376609802,0.6197916865348816,0.3734513223171234,361.0,165.0
9,0.9939649105072021,0.9722379446029663,29.0,20.0,0.07939079403877258,0.01,0.9665924310684204,0.9711246490478516,1296.0,420.0,0.9169754385948181,0.8903566598892212,70.0,13.0,0.3923613131046295,0.734375,0.0,552.0,122.0
10,0.9894514083862305,0.9558073878288269,46.0,32.0,0.10601905733346939,0.009995002,0.9576837420463562,0.9597264528274536,1284.0,403.0,0.766445517539978,0.8295904994010925,128.0,1.0,1.4153939485549927,0.546875,0.0,564.0,64.0
11,0.9897991418838501,0.9671388268470764,30.0,28.0,0.0984564870595932,0.009989508,0.9665924310684204,0.9665653705596924,1288.0,419.0,0.9087435603141785,0.887714684009552,72.0,13.0,0.40530556440353394,0.703125,0.0,552.0,120.0
12,0.9979302287101746,0.9909348487854004,7.0,9.0,0.033493176102638245,0.009983518,0.9977728128433228,0.996960461139679,1307.0,442.0,0.8992347717285156,0.8916776776313782,63.0,19.0,0.4955832064151764,0.7239583134651184,0.0,546.0,129.0
13,0.9916176199913025,0.9745042324066162,28.0,17.0,0.07496816664934158,0.009977033,0.9799554347991943,0.9794833064079285,1299.0,421.0,0.8548858165740967,0.8573315739631653,102.0,6.0,0.6035537719726562,0.5989583134651184,0.0,559.0,90.0
14,0.993050217628479,0.9750708341598511,28.0,16.0,0.07366666197776794,0.009970054,0.9821826219558716,0.9802431464195251,1300.0,421.0,0.906503438949585,0.9022457003593445,55.0,19.0,0.4004456102848053,0.75,0.0,546.0,137.0
