epoch,AUC,accuracy,false_negatives,false_positives,loss,lr,sensitivity_at_specificity,specificity_at_sensitivity,true_negatives,true_positives,val_AUC,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_sensitivity_at_specificity,val_specificity_at_sensitivity,val_true_negatives,val_true_positives
0,0.6910087466239929,0.7433427572250366,398.0,55.0,0.5228651762008667,0.01,0.12026725709438324,0.2477203607559204,1261.0,51.0,0.7720270752906799,0.7569352984428406,180.0,4.0,0.5110542178153992,0.265625,0.27610620856285095,561.0,12.0
1,0.8297373056411743,0.8243626356124878,220.0,90.0,0.41630879044532776,0.01,0.4409799575805664,0.38297873735427856,1226.0,229.0,0.8612555265426636,0.8163804411888123,136.0,3.0,0.4647510349750519,0.4895833432674408,0.3734513223171234,562.0,56.0
2,0.9230390191078186,0.8781869411468506,137.0,78.0,0.2954941987991333,0.01,0.6547884345054626,0.6458966732025146,1238.0,312.0,0.9233591556549072,0.9035667181015015,61.0,12.0,0.2746354639530182,0.71875,0.5592920184135437,553.0,131.0
3,0.9537877440452576,0.909915030002594,94.0,65.0,0.22838857769966125,0.01,0.7906458973884583,0.7606382966041565,1251.0,355.0,0.9126428961753845,0.8652576208114624,97.0,5.0,0.3441389501094818,0.7447916865348816,0.32035398483276367,560.0,95.0
4,0.9682602286338806,0.9297450184822083,77.0,47.0,0.1864546537399292,0.01,0.8440979719161987,0.8305470943450928,1269.0,372.0,0.8406803011894226,0.7807133197784424,58.0,108.0,0.44322413206100464,0.546875,0.33097344636917114,457.0,134.0
5,0.977850079536438,0.9405099153518677,59.0,46.0,0.16171275079250336,0.01,0.8930957913398743,0.8936170339584351,1270.0,390.0,0.8453124761581421,0.2760898172855377,5.0,543.0,2.0657882690429688,0.515625,0.20353981852531433,22.0,187.0
6,0.9781269431114197,0.9405099153518677,67.0,38.0,0.15704604983329773,0.01,0.904231607913971,0.8844984769821167,1278.0,382.0,0.8776180148124695,0.8890356421470642,78.0,6.0,0.6174105405807495,0.7135416865348816,0.0,559.0,114.0
7,0.9952460527420044,0.9716714024543762,31.0,19.0,0.07326025515794754,0.01,0.9710467457771301,0.9772036671638489,1297.0,418.0,0.9097577333450317,0.886393666267395,49.0,37.0,0.4130541682243347,0.7447916865348816,0.0,528.0,143.0
8,0.9819517135620117,0.9501416683197021,51.0,37.0,0.13908998668193817,0.01,0.9309576749801636,0.9316109418869019,1279.0,398.0,0.8809642791748047,0.886393666267395,65.0,21.0,0.35343044996261597,0.671875,0.3964601755142212,544.0,127.0
9,0.9903651475906372,0.954674243927002,40.0,40.0,0.11320795863866806,0.01,0.9465478658676147,0.9483282566070557,1276.0,409.0,0.8623571991920471,0.8718625903129578,80.0,17.0,0.6914713978767395,0.6510416865348816,0.0,548.0,112.0
10,0.9907935261726379,0.9677053689956665,34.0,23.0,0.08618900924921036,0.009995002,0.9665924310684204,0.9741641283035278,1293.0,415.0,0.8838403820991516,0.8243064880371094,41.0,92.0,0.5649893283843994,0.6770833134651184,0.44601771235466003,473.0,151.0
11,0.9880831241607666,0.9637393951416016,42.0,22.0,0.10873793810606003,0.009989508,0.9443207383155823,0.9407294988632202,1294.0,407.0,0.9072731137275696,0.9022457003593445,46.0,28.0,0.5176193118095398,0.7604166865348816,0.0,537.0,146.0
12,0.997127890586853,0.9767705202102661,24.0,17.0,0.0613190121948719,0.009983518,0.9955456852912903,0.9848024249076843,1299.0,425.0,0.8402377963066101,0.8626155853271484,92.0,12.0,0.9802534580230713,0.65625,0.0,553.0,100.0
13,0.9922125339508057,0.9694051146507263,30.0,24.0,0.09259787201881409,0.009977033,0.9621380567550659,0.9635258316993713,1292.0,419.0,0.9199668169021606,0.8797886371612549,32.0,59.0,0.37999987602233887,0.7135416865348816,0.6123893857002258,506.0,160.0
14,0.9958916902542114,0.9807365536689758,23.0,11.0,0.061336979269981384,0.009970054,0.9866369962692261,0.9908814430236816,1305.0,426.0,0.8636061549186707,0.8494055271148682,109.0,5.0,0.6868568062782288,0.671875,0.0,560.0,83.0
15,0.9990209937095642,0.9909348487854004,9.0,7.0,0.028451278805732727,0.009962582,0.9977728128433228,0.996960461139679,1309.0,440.0,0.8591814637184143,0.885072648525238,69.0,18.0,0.6075248122215271,0.6666666865348816,0.0,547.0,123.0
16,0.9893692135810852,0.9597733616828918,43.0,28.0,0.10325313359498978,0.009954618,0.9532294273376465,0.9604862928390503,1288.0,406.0,0.8520925641059875,0.8520475625991821,109.0,3.0,0.8794469237327576,0.703125,0.0,562.0,83.0
17,0.996973991394043,0.9807365536689758,22.0,12.0,0.05631024390459061,0.009946164,0.9888641238212585,0.9916413426399231,1304.0,427.0,0.9155420064926147,0.9022457003593445,61.0,13.0,0.44643083214759827,0.765625,0.0,552.0,131.0
18,0.9974621534347534,0.9864022731781006,14.0,10.0,0.03913178667426109,0.00993722,0.9888641238212585,0.9984802603721619,1306.0,435.0,0.8902285695075989,0.9022457003593445,68.0,6.0,0.586799681186676,0.7395833134651184,0.0,559.0,124.0
19,0.9960805177688599,0.9745042324066162,23.0,22.0,0.06397183984518051,0.009927789,0.9955456852912903,0.9810030460357666,1294.0,426.0,0.8346192836761475,0.7133421301841736,33.0,184.0,0.8822156190872192,0.484375,0.2743362784385681,381.0,159.0
20,0.9982806444168091,0.9852691292762756,17.0,9.0,0.04298972338438034,0.009917871,0.9977728128433228,0.9946808218955994,1307.0,432.0,0.911536693572998,0.8943196535110474,48.0,32.0,0.3740858733654022,0.7083333134651184,0.0,533.0,144.0
21,0.9998002648353577,0.9971671104431152,2.0,3.0,0.014055842533707619,0.009907468,0.9977728128433228,1.0,1313.0,447.0,0.905240535736084,0.9114927053451538,55.0,12.0,0.6063454747200012,0.7760416865348816,0.0,553.0,137.0
22,0.9987484812736511,0.9960339665412903,3.0,4.0,0.014524027705192566,0.009896582,0.9977728128433228,1.0,1312.0,446.0,0.9001659750938416,0.8916776776313782,51.0,31.0,0.5996571779251099,0.7135416865348816,0.0,534.0,141.0
23,0.9965484142303467,0.9892351031303406,10.0,9.0,0.034958332777023315,0.009885214,0.9888641238212585,0.9984802603721619,1307.0,439.0,0.8437268733978271,0.8771466016769409,88.0,5.0,0.9538923501968384,0.7083333134651184,0.0,560.0,104.0
24,0.9984260201454163,0.9909348487854004,12.0,4.0,0.028898121789097786,0.009873366,0.9977728128433228,0.9984802603721619,1312.0,437.0,0.887762725353241,0.7490092515945435,16.0,174.0,1.1305124759674072,0.0,0.44247788190841675,391.0,176.0
25,0.993565559387207,0.979036808013916,18.0,19.0,0.06420138478279114,0.00986104,0.9799554347991943,0.990121603012085,1297.0,431.0,0.8889332413673401,0.886393666267395,70.0,16.0,0.6700852513313293,0.7083333134651184,0.0,549.0,122.0
26,0.9992468953132629,0.9909348487854004,10.0,6.0,0.027150331065058708,0.009848237,0.993318498134613,0.9984802603721619,1310.0,439.0,0.9171921014785767,0.8969616889953613,70.0,8.0,0.4690254330635071,0.78125,0.0,557.0,122.0
27,0.9964154958724976,0.9864022731781006,14.0,10.0,0.0420483723282814,0.00983496,0.993318498134613,0.9946808218955994,1306.0,435.0,0.8792542219161987,0.8612945675849915,104.0,1.0,0.9405196905136108,0.7239583134651184,0.0,564.0,88.0
28,0.9988577365875244,0.9892351031303406,11.0,8.0,0.03248818963766098,0.00982121,0.9977728128433228,0.996960461139679,1308.0,438.0,0.9063835740089417,0.9009246826171875,52.0,23.0,0.4766142666339874,0.7552083134651184,0.0,542.0,140.0
29,0.9994363188743591,0.9949008226394653,5.0,4.0,0.016230987384915352,0.00980699,1.0,0.9992401003837585,1312.0,444.0,0.8872187733650208,0.8982827067375183,50.0,27.0,0.5002429485321045,0.7395833134651184,0.0,538.0,142.0
30,0.9984918832778931,0.9915013909339905,9.0,6.0,0.025166800245642662,0.009792301,0.9955456852912903,0.9992401003837585,1310.0,440.0,0.919482946395874,0.8533685803413391,34.0,77.0,0.5329474210739136,0.7291666865348816,0.4796460270881653,488.0,158.0
31,0.9994702935218811,0.9954674243927002,3.0,5.0,0.01619972288608551,0.009777146,1.0,0.9992401003837585,1311.0,446.0,0.9079461097717285,0.8969616889953613,47.0,31.0,0.5377222895622253,0.7552083134651184,0.0,534.0,145.0
32,0.99985271692276,0.9937676787376404,6.0,5.0,0.014677636325359344,0.009761528,1.0,1.0,1311.0,443.0,0.8775166273117065,0.8890356421470642,71.0,13.0,0.7654825448989868,0.703125,0.0,552.0,121.0
33,0.9999027252197266,0.9954674243927002,4.0,4.0,0.012413953430950642,0.009745448,1.0,1.0,1312.0,445.0,0.8755670785903931,0.887714684009552,56.0,29.0,0.6171218752861023,0.6875,0.0,536.0,136.0
34,0.9972752332687378,0.9875354170799255,11.0,11.0,0.044055502861738205,0.009728909,0.9910913109779358,0.9984802603721619,1305.0,438.0,0.8614675998687744,0.8771466016769409,83.0,10.0,1.137718677520752,0.7291666865348816,0.0,555.0,109.0
35,0.9999077916145325,0.9954674243927002,6.0,2.0,0.012358957901597023,0.009711913,1.0,1.0,1314.0,443.0,0.8935194611549377,0.8903566598892212,61.0,22.0,0.7148860692977905,0.6979166865348816,0.0,543.0,131.0
36,0.9969740509986877,0.9943342804908752,7.0,3.0,0.03424845263361931,0.009694463,0.993318498134613,0.9992401003837585,1313.0,442.0,0.8827708959579468,0.8811096549034119,74.0,16.0,0.9216976165771484,0.71875,0.0,549.0,118.0
37,0.9999051690101624,0.9954674243927002,3.0,5.0,0.012291673570871353,0.009676561,1.0,0.9992401003837585,1311.0,446.0,0.845510721206665,0.8705416321754456,90.0,8.0,1.0766241550445557,0.6875,0.0,557.0,102.0
38,0.999058187007904,0.9943342804908752,4.0,6.0,0.01888078637421131,0.00965821,1.0,0.9984802603721619,1310.0,445.0,0.8950636386871338,0.8996037244796753,57.0,19.0,0.715266227722168,0.75,0.0,546.0,135.0
39,0.9999763369560242,0.9977337121963501,2.0,2.0,0.006325615104287863,0.009639413,1.0,1.0,1314.0,447.0,0.8873847723007202,0.9009246826171875,59.0,16.0,0.828980028629303,0.75,0.0,549.0,133.0
40,0.998803436756134,0.9977337121963501,3.0,1.0,0.011572342365980148,0.009620173,0.9977728128433228,1.0,1315.0,446.0,0.8562591671943665,0.8890356421470642,73.0,11.0,0.9650764465332031,0.6875,0.0,554.0,119.0
41,0.9999459385871887,0.9966005682945251,4.0,2.0,0.009237403981387615,0.009600492,1.0,1.0,1314.0,445.0,0.8740781545639038,0.885072648525238,64.0,23.0,0.881028950214386,0.6770833134651184,0.0,542.0,128.0
42,0.9999932646751404,0.998866856098175,1.0,1.0,0.003930367063730955,0.009580374,1.0,1.0,1315.0,448.0,0.8841675519943237,0.8890356421470642,63.0,21.0,0.7251989841461182,0.71875,0.0,544.0,129.0
43,0.998852550983429,0.998866856098175,1.0,1.0,0.005726479925215244,0.00955982,0.9977728128433228,1.0,1315.0,448.0,0.913025438785553,0.9075297117233276,41.0,29.0,0.5947676301002502,0.7760416865348816,0.0,536.0,151.0
44,1.0,1.0,0.0,0.0,0.0007075148168951273,0.009538835,1.0,1.0,1316.0,449.0,0.9081812500953674,0.9062086939811707,47.0,24.0,0.5807386040687561,0.765625,0.0,541.0,145.0
45,1.0,1.0,0.0,0.0,0.00023893524485174567,0.009517421,1.0,1.0,1316.0,449.0,0.9051991105079651,0.9128137230873108,45.0,21.0,0.6081017851829529,0.765625,0.0,544.0,147.0
46,1.0,1.0,0.0,0.0,0.00019675525254569948,0.0094955815,1.0,1.0,1316.0,449.0,0.9031111598014832,0.9128137230873108,45.0,21.0,0.6237294673919678,0.7708333134651184,0.0,544.0,147.0
47,0.9999999403953552,1.0,0.0,0.0,0.00025986257242038846,0.009473319,1.0,1.0,1316.0,449.0,0.9030051827430725,0.9114927053451538,46.0,21.0,0.65193772315979,0.7708333134651184,0.0,544.0,146.0
48,1.0,1.0,0.0,0.0,0.00021557885338552296,0.009450638,1.0,1.0,1316.0,449.0,0.8984836339950562,0.9114927053451538,47.0,20.0,0.6666250824928284,0.7708333134651184,0.0,545.0,145.0
49,1.0,1.0,0.0,0.0,0.0002888855233322829,0.00942754,1.0,1.0,1316.0,449.0,0.9033923149108887,0.9088507294654846,43.0,26.0,0.6544064283370972,0.78125,0.0,539.0,149.0
50,1.0,1.0,0.0,0.0,0.0001571566826896742,0.00940403,1.0,1.0,1316.0,449.0,0.8957273364067078,0.9128137230873108,45.0,21.0,0.6756699085235596,0.78125,0.0,544.0,147.0
51,1.0,1.0,0.0,0.0,9.30441528907977e-05,0.009380111,1.0,1.0,1316.0,449.0,0.8956165909767151,0.9114927053451538,46.0,21.0,0.6954196691513062,0.78125,0.0,544.0,146.0
52,1.0,1.0,0.0,0.0,0.00021041349100414664,0.009355785,1.0,1.0,1316.0,449.0,0.890537440776825,0.9062086939811707,44.0,27.0,0.7556179165840149,0.7760416865348816,0.0,538.0,148.0
53,1.0,1.0,0.0,0.0,0.0001242531870957464,0.009331058,1.0,1.0,1316.0,449.0,0.8942338824272156,0.9048877358436584,44.0,28.0,0.7495460510253906,0.7708333134651184,0.0,537.0,148.0
54,1.0,1.0,0.0,0.0,6.969794048927724e-05,0.009305932,1.0,1.0,1316.0,449.0,0.8919432163238525,0.9062086939811707,45.0,26.0,0.7595157027244568,0.7708333134651184,0.0,539.0,147.0
55,1.0,1.0,0.0,0.0,0.0002225012140115723,0.009280411,1.0,1.0,1316.0,449.0,0.898714005947113,0.9101717472076416,44.0,24.0,0.7704067826271057,0.78125,0.0,541.0,148.0
56,1.0,1.0,0.0,0.0,0.0001428862160537392,0.009254498,1.0,1.0,1316.0,449.0,0.8961651921272278,0.9101717472076416,42.0,26.0,0.7350170612335205,0.7864583134651184,0.0,539.0,150.0
