epoch,AUC,accuracy,false_negatives,false_positives,loss,lr,sensitivity_at_specificity,specificity_at_sensitivity,true_negatives,true_positives,val_AUC,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_sensitivity_at_specificity,val_specificity_at_sensitivity,val_true_negatives,val_true_positives
0,0.6763519048690796,0.734277606010437,352.0,117.0,0.541014552116394,0.01,0.1314031183719635,0.1808510571718216,1199.0,97.0,0.7829877138137817,0.7463672161102295,192.0,0.0,0.5424894690513611,0.3177083432674408,0.3486725687980652,565.0,0.0
1,0.8371373414993286,0.8073654174804688,239.0,101.0,0.4166385531425476,0.01,0.365256130695343,0.36626139283180237,1215.0,210.0,0.8610296845436096,0.8190224766731262,130.0,7.0,0.4060409665107727,0.5625,0.40707963705062866,558.0,62.0
2,0.9100804328918457,0.8702549338340759,146.0,83.0,0.3144563138484955,0.01,0.641425371170044,0.5357142686843872,1233.0,303.0,0.9333103895187378,0.8797886371612549,78.0,13.0,0.28043314814567566,0.765625,0.6566371917724609,552.0,114.0
3,0.9466875195503235,0.9019830226898193,103.0,70.0,0.24454468488693237,0.01,0.7594654560089111,0.7051671743392944,1246.0,346.0,0.9335591793060303,0.8533685803413391,27.0,84.0,0.32647258043289185,0.7083333134651184,0.6637167930603027,481.0,165.0
4,0.9714900851249695,0.9252124428749084,71.0,61.0,0.18126502633094788,0.01,0.8507795333862305,0.8617021441459656,1255.0,378.0,0.8973358869552612,0.8771466016769409,59.0,34.0,0.32868048548698425,0.65625,0.4725663661956787,531.0,133.0
5,0.9802204370498657,0.9501416683197021,52.0,36.0,0.142873153090477,0.01,0.9242761731147766,0.8989361524581909,1280.0,397.0,0.8538670539855957,0.8533685803413391,89.0,22.0,0.40131130814552307,0.5364583134651184,0.38053098320961,543.0,103.0
6,0.9723871350288391,0.936543881893158,64.0,48.0,0.17819911241531372,0.01,0.890868604183197,0.8867781162261963,1268.0,385.0,0.9277377724647522,0.8929986953735352,42.0,39.0,0.28466662764549255,0.734375,0.6141592860221863,526.0,150.0
7,0.9840484857559204,0.9444759488105774,54.0,44.0,0.13463418185710907,0.01,0.942093551158905,0.936170220375061,1272.0,395.0,0.8725664615631104,0.886393666267395,75.0,11.0,0.5111593008041382,0.65625,0.0,554.0,117.0
8,0.9886922836303711,0.9603399634361267,34.0,36.0,0.11287690699100494,0.01,0.9510022401809692,0.9513677954673767,1280.0,415.0,0.8916712999343872,0.8745046257972717,65.0,30.0,0.35792556405067444,0.6510416865348816,0.43008849024772644,535.0,127.0
9,0.9928531646728516,0.9648725390434265,27.0,35.0,0.09328516572713852,0.01,0.9688196182250977,0.9635258316993713,1281.0,422.0,0.7889381051063538,0.8124174475669861,140.0,2.0,1.0932756662368774,0.609375,0.0,563.0,52.0
