epoch,AUC,accuracy,false_negatives,false_positives,loss,lr,sensitivity_at_specificity,specificity_at_sensitivity,true_negatives,true_positives,val_AUC,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_sensitivity_at_specificity,val_specificity_at_sensitivity,val_true_negatives,val_true_positives
0,0.6587849259376526,0.7416430711746216,376.0,80.0,0.5423642992973328,0.01,0.13363029062747955,0.1618541032075882,1236.0,73.0,0.7875460982322693,0.7463672161102295,192.0,0.0,0.512147068977356,0.3072916567325592,0.19646017253398895,565.0,0.0
1,0.8245653510093689,0.8050991296768188,248.0,96.0,0.42228764295578003,0.01,0.3897550106048584,0.36018237471580505,1220.0,201.0,0.8495621085166931,0.7886393666267395,159.0,1.0,0.4825993478298187,0.5,0.41415929794311523,564.0,33.0
2,0.9135202765464783,0.8730878233909607,150.0,74.0,0.3114013373851776,0.01,0.6436525583267212,0.6086626052856445,1242.0,299.0,0.9200866222381592,0.8573315739631653,37.0,71.0,0.37264057993888855,0.71875,0.5274336338043213,494.0,155.0
3,0.9497896432876587,0.908781886100769,105.0,56.0,0.2344711273908615,0.01,0.8062360882759094,0.6884498596191406,1260.0,344.0,0.9061256051063538,0.8639366030693054,64.0,39.0,0.31598415970802307,0.625,0.5097345113754272,526.0,128.0
4,0.9656844735145569,0.9252124428749084,78.0,54.0,0.1978408843278885,0.01,0.8485523462295532,0.8069908618927002,1262.0,371.0,0.9226216673851013,0.885072648525238,69.0,18.0,0.28346988558769226,0.6927083134651184,0.5026548504829407,547.0,123.0
5,0.9752160310745239,0.9393767714500427,62.0,45.0,0.16704954206943512,0.01,0.8797327280044556,0.8708206415176392,1271.0,387.0,0.9159337878227234,0.844121515750885,117.0,1.0,0.5214359164237976,0.75,0.0,564.0,75.0
6,0.9794840812683105,0.9484419226646423,57.0,34.0,0.14881424605846405,0.01,0.9109131693840027,0.901975691318512,1282.0,392.0,0.9301577210426331,0.8811096549034119,40.0,50.0,0.30338242650032043,0.7552083134651184,0.5486725568771362,515.0,152.0
7,0.9824052453041077,0.953541100025177,49.0,33.0,0.1284395307302475,0.01,0.9331848621368408,0.9354103207588196,1283.0,400.0,0.9070796966552734,0.8678995966911316,95.0,5.0,0.36703944206237793,0.6979166865348816,0.43893805146217346,560.0,97.0
8,0.9864743947982788,0.954674243927002,42.0,38.0,0.12544868886470795,0.01,0.942093551158905,0.9376899600028992,1278.0,407.0,0.8619515895843506,0.8639366030693054,102.0,1.0,0.7076786756515503,0.703125,0.0,564.0,90.0
9,0.9883657097816467,0.954674243927002,45.0,35.0,0.11590249091386795,0.01,0.9443207383155823,0.9445288777351379,1281.0,404.0,0.8924363851547241,0.885072648525238,57.0,30.0,0.3807576596736908,0.6770833134651184,0.0,535.0,135.0
10,0.9873758554458618,0.9682719707489014,37.0,19.0,0.10010290145874023,0.009995002,0.9532294273376465,0.9612461924552917,1297.0,412.0,0.877700924873352,0.8705416321754456,92.0,6.0,0.6297186017036438,0.7083333134651184,0.0,559.0,100.0
11,0.9962251782417297,0.9779036641120911,18.0,21.0,0.06344327330589294,0.009989508,0.9844098091125488,0.9908814430236816,1295.0,431.0,0.8486909866333008,0.8546895384788513,108.0,2.0,0.985617458820343,0.7135416865348816,0.0,563.0,84.0
12,0.9977812767028809,0.9841359853744507,14.0,14.0,0.046876437962055206,0.009983518,0.9910913109779358,0.9924012422561646,1302.0,435.0,0.8556139469146729,0.8745046257972717,90.0,5.0,0.8459262847900391,0.7135416865348816,0.0,560.0,102.0
13,0.9898043274879456,0.9671388268470764,35.0,23.0,0.09367435425519943,0.009977033,0.9732739329338074,0.9749240279197693,1293.0,414.0,0.8902056217193604,0.8758256435394287,57.0,37.0,0.4408683478832245,0.6822916865348816,0.0,528.0,135.0
14,0.99582839012146,0.9779036641120911,20.0,19.0,0.06371230632066727,0.009970054,0.9821826219558716,0.988601803779602,1297.0,429.0,0.7913209795951843,0.8269484639167786,125.0,6.0,1.2411366701126099,0.5833333134651184,0.0,559.0,67.0
15,0.9942653179168701,0.979036808013916,25.0,12.0,0.07224095612764359,0.009962582,0.9643652439117432,0.975683867931366,1304.0,424.0,0.8927406072616577,0.886393666267395,74.0,12.0,0.568760097026825,0.7239583134651184,0.0,553.0,118.0
16,0.9980646967887878,0.9847025275230408,16.0,11.0,0.047684554010629654,0.009954618,0.993318498134613,0.9931610822677612,1305.0,433.0,0.9032817482948303,0.887714684009552,54.0,31.0,0.4281180500984192,0.71875,0.0,534.0,138.0
17,0.9949134588241577,0.980169951915741,15.0,20.0,0.0563897080719471,0.009946164,0.9910913109779358,0.9924012422561646,1296.0,434.0,0.911771833896637,0.8771466016769409,34.0,59.0,0.49114909768104553,0.75,0.0,506.0,158.0
18,0.998408317565918,0.9852691292762756,15.0,11.0,0.041148748248815536,0.00993722,0.993318498134613,0.9946808218955994,1305.0,434.0,0.8868363499641418,0.8943196535110474,69.0,11.0,0.772057294845581,0.75,0.0,554.0,123.0
19,0.996242880821228,0.9898017048835754,9.0,9.0,0.03890235349535942,0.009927789,0.9910913109779358,0.9962006211280823,1307.0,440.0,0.8865643739700317,0.8956406712532043,75.0,4.0,0.9188119769096375,0.7916666865348816,0.0,561.0,117.0
20,0.9998399615287781,0.9960339665412903,3.0,4.0,0.013813678175210953,0.009917871,1.0,1.0,1312.0,446.0,0.8817431330680847,0.8996037244796753,65.0,11.0,0.8840630650520325,0.78125,0.0,554.0,127.0
21,0.9986476898193359,0.9966005682945251,3.0,3.0,0.01309594139456749,0.009907468,0.9955456852912903,1.0,1313.0,446.0,0.9024151563644409,0.9048877358436584,62.0,10.0,0.6332226395606995,0.8072916865348816,0.0,555.0,130.0
22,0.9999949336051941,0.998866856098175,1.0,1.0,0.0037919171154499054,0.009896582,1.0,1.0,1315.0,448.0,0.881650984287262,0.8929986953735352,72.0,9.0,0.7527429461479187,0.7864583134651184,0.0,556.0,120.0
23,0.9999476075172424,0.9977337121963501,2.0,2.0,0.00806990172713995,0.009885214,1.0,1.0,1314.0,447.0,0.867560863494873,0.8678995966911316,57.0,43.0,0.785356342792511,0.6875,0.0,522.0,135.0
24,0.9983202219009399,0.9784702658653259,22.0,16.0,0.047623176127672195,0.009873366,0.9955456852912903,0.9893617033958435,1300.0,427.0,0.884264349937439,0.9035667181015015,62.0,11.0,0.6562913060188293,0.7395833134651184,0.0,554.0,130.0
25,0.9938473701477051,0.977337121963501,19.0,21.0,0.07035767287015915,0.00986104,0.9821826219558716,0.9870820641517639,1295.0,430.0,0.9011430144309998,0.8018494248390198,34.0,116.0,0.4857909381389618,0.6822916865348816,0.41946902871131897,449.0,158.0
26,0.9993458986282349,0.9875354170799255,12.0,10.0,0.02875702455639839,0.009848237,0.9977728128433228,0.9977203607559204,1306.0,437.0,0.8829737901687622,0.886393666267395,57.0,29.0,0.5800251364707947,0.6875,0.0,536.0,135.0
27,0.999967098236084,0.9966005682945251,4.0,2.0,0.008478906005620956,0.00983496,1.0,1.0,1314.0,445.0,0.9155281186103821,0.9048877358436584,40.0,32.0,0.6185575127601624,0.7708333134651184,0.0,533.0,152.0
28,0.9944242835044861,0.9835693836212158,17.0,12.0,0.06807004660367966,0.00982121,0.9821826219558716,0.9931610822677612,1304.0,432.0,0.9196395874023438,0.8784676194190979,39.0,53.0,0.4765571057796478,0.71875,0.0,512.0,153.0
29,0.9994685649871826,0.9954674243927002,2.0,6.0,0.018059950321912766,0.00980699,1.0,0.9992401003837585,1310.0,447.0,0.8831582069396973,0.8956406712532043,57.0,22.0,0.8433697819709778,0.71875,0.0,543.0,135.0
30,0.9999831318855286,0.9977337121963501,2.0,2.0,0.006197025999426842,0.009792301,1.0,1.0,1314.0,447.0,0.8813329935073853,0.9048877358436584,51.0,21.0,0.920604407787323,0.7708333134651184,0.0017699114978313446,544.0,141.0
31,0.9997013211250305,0.9915013909339905,6.0,9.0,0.019498948007822037,0.009777146,1.0,0.9992401003837585,1307.0,443.0,0.7989813089370728,0.8599736094474792,102.0,4.0,2.164247512817383,0.609375,0.0,561.0,90.0
