Features,Execution,AUC,Sens,Spec
features_DM_Duration,0,0.9435,0.9531,0.5540
features_DM_Duration,1,0.9351,0.9583,0.5593
features_DM_Duration,2,0.9325,0.9583,0.6195
features_DM_Duration,3,0.9279,0.9531,0.5699
features_DM_Duration,4,0.9353,0.9531,0.6195
features_DM_Duration,5,0.9270,0.9531,0.5858
features_DM_Duration,6,0.9384,0.9531,0.6248
features_DM_Duration,7,0.9397,0.9531,0.6619
features_DM_Duration,8,0.9326,0.9531,0.6177
features_DM_Duration,9,0.9213,0.9531,0.5646
features_HbA1c,0,0.9388,0.9531,0.6637
features_HbA1c,1,0.9194,0.9531,0.4726
features_HbA1c,2,0.9258,0.9531,0.6053
features_HbA1c,3,0.9220,0.9531,0.5894
features_HbA1c,4,0.9143,0.9531,0.4496
features_HbA1c,5,0.9250,0.9531,0.5204
features_HbA1c,6,0.9237,0.9531,0.6106
features_HbA1c,7,0.9241,0.9531,0.4779
features_HbA1c,8,0.9270,0.9531,0.5292
features_HbA1c,9,0.9443,0.9531,0.6124
features_Insulin,0,0.9396,0.9531,0.6265
features_Insulin,1,0.9208,0.9531,0.4973
features_Insulin,2,0.9434,0.9531,0.6460
features_Insulin,3,0.9286,0.9531,0.5681
features_Insulin,4,0.9218,0.9531,0.5770
features_Insulin,5,0.9147,0.9531,0.4814
features_Insulin,6,0.9384,0.9531,0.6106
features_Insulin,7,0.9362,0.9583,0.6248
features_Insulin,8,0.9290,0.9531,0.5664
features_Insulin,9,0.9329,0.9531,0.5558
features_SBP,0,0.9335,0.9531,0.5274
features_SBP,1,0.9267,0.9531,0.5717
features_SBP,2,0.9249,0.9531,0.5080
features_SBP,3,0.9472,0.9531,0.6850
features_SBP,4,0.9236,0.9531,0.5451
features_SBP,5,0.9211,0.9531,0.5363
features_SBP,6,0.9333,0.9531,0.5681
features_SBP,7,0.9246,0.9531,0.5257
features_SBP,8,0.9335,0.9583,0.6372
features_SBP,9,0.9424,0.9531,0.7310
features_UAE,0,0.9250,0.9531,0.4973
features_UAE,1,0.9381,0.9531,0.6513
features_UAE,2,0.9196,0.9531,0.4248
features_UAE,3,0.9209,0.9531,0.5257
features_UAE,4,0.9172,0.9583,0.4956
