epoch,AUC,accuracy,false_negatives,false_positives,loss,lr,sensitivity_at_specificity,specificity_at_sensitivity,true_negatives,true_positives,val_AUC,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_sensitivity_at_specificity,val_specificity_at_sensitivity,val_true_negatives,val_true_positives
0,0.6314617395401001,0.7141544222831726,269.0,42.0,0.5681252479553223,0.01,0.07457627356052399,0.13745270669460297,751.0,26.0,0.7655858993530273,0.7280513644218445,127.0,0.0,0.5853449106216431,0.22834645211696625,0.1558823585510254,340.0,0.0
1,0.8080429434776306,0.7775735259056091,207.0,35.0,0.46493080258369446,0.01,0.3118644058704376,0.2799495458602905,758.0,88.0,0.8290643692016602,0.7537473440170288,115.0,0.0,0.47509366273880005,0.4724409580230713,0.4117647111415863,340.0,12.0
2,0.8939064145088196,0.8483455777168274,111.0,54.0,0.3568379878997803,0.01,0.5796610116958618,0.5447667241096497,739.0,184.0,0.909773051738739,0.8501070737838745,68.0,2.0,0.3649928569793701,0.6456692814826965,0.6176470518112183,338.0,59.0
3,0.9249299168586731,0.8851103186607361,80.0,45.0,0.29618018865585327,0.01,0.698305070400238,0.5952080488204956,748.0,215.0,0.9024548530578613,0.8479657173156738,33.0,38.0,0.3433295488357544,0.6456692814826965,0.5558823347091675,302.0,94.0
4,0.9571889638900757,0.9136029481887817,59.0,35.0,0.22387778759002686,0.01,0.806779682636261,0.7944514751434326,758.0,236.0,0.8700324296951294,0.8715203404426575,50.0,10.0,0.5663853287696838,0.6692913174629211,0.0,330.0,77.0
5,0.9768205285072327,0.9402573704719543,38.0,27.0,0.16269651055335999,0.01,0.8847457766532898,0.8701134920120239,766.0,257.0,0.8764010667800903,0.8308351039886475,76.0,3.0,0.5875956416130066,0.6456692814826965,0.0,337.0,51.0
6,0.975375771522522,0.939338207244873,38.0,28.0,0.16787150502204895,0.01,0.9118643999099731,0.8928121328353882,765.0,257.0,0.8992473483085632,0.7901498675346375,18.0,80.0,0.5048320293426514,0.6771653294563293,0.44411763548851013,260.0,109.0
7,0.9784684181213379,0.935661792755127,44.0,26.0,0.1648024171590805,0.01,0.9084745645523071,0.8511979579925537,767.0,251.0,0.9376563429832458,0.8758029937744141,28.0,30.0,0.32017338275909424,0.7007874250411987,0.679411768913269,310.0,99.0
8,0.9724709391593933,0.9338235259056091,42.0,30.0,0.18099844455718994,0.01,0.8745762705802917,0.8663303852081299,763.0,253.0,0.9246525764465332,0.8672376871109009,54.0,8.0,0.4023970663547516,0.7007874250411987,0.6323529481887817,332.0,73.0
9,0.9909505248069763,0.9632353186607361,18.0,22.0,0.10603287816047668,0.01,0.9661017060279846,0.9609079360961914,771.0,277.0,0.9050370454788208,0.8522483706474304,63.0,6.0,0.6761964559555054,0.7637795209884644,0.0,334.0,64.0
10,0.9910978674888611,0.9641544222831726,21.0,18.0,0.10555990785360336,0.009995002,0.9525423645973206,0.9533417224884033,775.0,274.0,0.8977651596069336,0.8586723804473877,35.0,31.0,0.43562716245651245,0.6929134130477905,0.0,309.0,92.0
11,0.9816828370094299,0.9476103186607361,27.0,30.0,0.14794646203517914,0.009989508,0.9288135766983032,0.8978562355041504,763.0,268.0,0.9526401162147522,0.9014989137649536,17.0,29.0,0.29560503363609314,0.8267716765403748,0.8147059082984924,311.0,110.0
12,0.9956569671630859,0.9751838445663452,19.0,8.0,0.07134538888931274,0.009983518,0.9762712121009827,0.9810844659805298,785.0,276.0,0.8843097686767578,0.8586723804473877,63.0,3.0,0.7309044003486633,0.7086614370346069,0.0,337.0,64.0
13,0.9899823069572449,0.9632353186607361,18.0,22.0,0.10956645756959915,0.009977033,0.9661017060279846,0.9672130942344666,771.0,277.0,0.911544680595398,0.8201285004615784,20.0,64.0,0.49826329946517944,0.6929134130477905,0.5441176295280457,276.0,107.0
14,0.981270432472229,0.951286792755127,32.0,21.0,0.14345510303974152,0.009970054,0.9355932474136353,0.940731406211853,772.0,263.0,0.9200786352157593,0.8779443502426147,39.0,18.0,0.3807423710823059,0.6771653294563293,0.5588235259056091,322.0,88.0
15,0.9896788001060486,0.9568014740943909,26.0,21.0,0.11589735746383667,0.009962582,0.9559321999549866,0.9634299874305725,772.0,269.0,0.8093097805976868,0.8158458471298218,85.0,1.0,0.9121204614639282,0.5118110179901123,0.0,339.0,42.0
16,0.9947037100791931,0.9834558963775635,10.0,8.0,0.05954889580607414,0.009954618,0.9864406585693359,0.994955837726593,785.0,285.0,0.916790246963501,0.8758029937744141,34.0,24.0,0.3357435464859009,0.7086614370346069,0.5147058963775635,316.0,93.0
17,0.9917134046554565,0.982536792755127,12.0,7.0,0.07208327203989029,0.009946164,0.9864406585693359,0.9924337863922119,786.0,283.0,0.9402154684066772,0.9036402702331543,39.0,6.0,0.4044058620929718,0.834645688533783,0.0,334.0,88.0
18,0.9981254935264587,0.9871323704719543,10.0,4.0,0.04473058506846428,0.00993722,0.989830493927002,0.9974779486656189,789.0,285.0,0.9126563668251038,0.8993576169013977,43.0,4.0,0.49053025245666504,0.8110235929489136,0.0,336.0,84.0
19,0.9943509697914124,0.9834558963775635,10.0,8.0,0.05380420759320259,0.009927789,0.9864406585693359,0.9936948418617249,785.0,285.0,0.9086729288101196,0.8779443502426147,50.0,7.0,0.406526654958725,0.7086614370346069,0.0,333.0,77.0
20,0.9974694848060608,0.9898896813392639,7.0,4.0,0.04305214434862137,0.009917871,0.989830493927002,0.996216893196106,789.0,288.0,0.9313918948173523,0.9014989137649536,37.0,9.0,0.29706820845603943,0.7952755689620972,0.5088235139846802,331.0,90.0
21,0.9947356581687927,0.9889705777168274,7.0,5.0,0.04394858330488205,0.009907468,0.993220329284668,0.9936948418617249,788.0,288.0,0.9332793354988098,0.9100642204284668,28.0,14.0,0.3653104603290558,0.8110235929489136,0.0,326.0,99.0
22,0.9965224862098694,0.9889705777168274,6.0,6.0,0.04045723378658295,0.009896582,0.993220329284668,0.9987389445304871,787.0,289.0,0.9550370573997498,0.9207708835601807,29.0,8.0,0.2953016757965088,0.8661417365074158,0.0,332.0,98.0
23,0.9929638504981995,0.9871323704719543,9.0,5.0,0.05641201138496399,0.009885214,0.9796609878540039,0.996216893196106,788.0,286.0,0.9660606384277344,0.8993576169013977,6.0,41.0,0.4204590320587158,0.8976377844810486,0.9147058725357056,299.0,121.0
24,0.9977109432220459,0.984375,12.0,5.0,0.044258054345846176,0.009873366,0.989830493927002,0.9987389445304871,788.0,283.0,0.8901459574699402,0.8522483706474304,67.0,2.0,0.7397556304931641,0.8031495809555054,0.0,338.0,60.0
25,0.9999615550041199,0.9972426295280457,1.0,2.0,0.013410164974629879,0.00986104,1.0,1.0,791.0,294.0,0.9499537944793701,0.9229121804237366,24.0,12.0,0.33499813079833984,0.8897637724876404,0.0,328.0,103.0
26,1.0,0.9990808963775635,1.0,0.0,0.003424107562750578,0.009848237,1.0,1.0,793.0,294.0,0.964057445526123,0.9357602000236511,14.0,16.0,0.34069937467575073,0.8976377844810486,0.8529411554336548,324.0,113.0
27,0.9979459643363953,0.9972426295280457,2.0,1.0,0.01780884526669979,0.00983496,0.993220329284668,0.9987389445304871,792.0,293.0,0.9538328051567078,0.8886509537696838,10.0,42.0,0.45275741815567017,0.8110235929489136,0.8235294222831726,298.0,117.0
28,0.9993888139724731,0.9889705777168274,6.0,6.0,0.02915928326547146,0.00982121,1.0,0.994955837726593,787.0,289.0,0.9572488069534302,0.9100642204284668,7.0,35.0,0.4640134871006012,0.8267716765403748,0.8264706134796143,305.0,120.0
