epoch,AUC,accuracy,false_negatives,false_positives,loss,lr,sensitivity_at_specificity,specificity_at_sensitivity,true_negatives,true_positives,val_AUC,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_sensitivity_at_specificity,val_specificity_at_sensitivity,val_true_negatives,val_true_positives
0,0.6055570840835571,0.716911792755127,251.0,57.0,0.5801824927330017,0.01,0.11864406615495682,0.07944514602422714,736.0,44.0,0.6923807859420776,0.7280513644218445,127.0,0.0,0.565411388874054,0.12598425149917603,0.23529411852359772,340.0,0.0
1,0.7945753931999207,0.7941176295280457,177.0,47.0,0.4674970507621765,0.01,0.3661016821861267,0.21563681960105896,746.0,118.0,0.7681217789649963,0.7730192542076111,105.0,1.0,0.501149594783783,0.3779527544975281,0.25294119119644165,339.0,22.0
2,0.9152969717979431,0.8685661554336548,97.0,46.0,0.3265681266784668,0.01,0.6338983178138733,0.5762925744056702,747.0,198.0,0.8477305173873901,0.8115631937980652,43.0,45.0,0.41999080777168274,0.5748031735420227,0.38823530077934265,295.0,84.0
3,0.9341313242912292,0.8823529481887817,72.0,56.0,0.28056859970092773,0.01,0.7288135886192322,0.6683480739593506,737.0,223.0,0.9284506440162659,0.8586723804473877,62.0,4.0,0.3867625296115875,0.6771653294563293,0.6470588445663452,336.0,65.0
4,0.9659692049026489,0.9154411554336548,52.0,40.0,0.20053930580615997,0.01,0.8237287998199463,0.8335434794425964,753.0,243.0,0.8546896576881409,0.8158458471298218,83.0,3.0,0.7197743058204651,0.5748031735420227,0.0,337.0,44.0
5,0.9740696549415588,0.939338207244873,36.0,30.0,0.1724281907081604,0.01,0.8881356120109558,0.8764186501502991,763.0,259.0,0.9276865124702454,0.8693790435791016,39.0,22.0,0.3132464587688446,0.6377952694892883,0.6911764740943909,318.0,88.0
6,0.9810311198234558,0.9430146813392639,37.0,25.0,0.15036995708942413,0.01,0.8881356120109558,0.9117276072502136,768.0,258.0,0.8856646418571472,0.8672376871109009,49.0,13.0,0.40237170457839966,0.6141732335090637,0.4588235318660736,327.0,78.0
7,0.9755979776382446,0.9375,33.0,35.0,0.1715322732925415,0.01,0.9016948938369751,0.9054224491119385,758.0,262.0,0.9041338562965393,0.8286938071250916,76.0,4.0,0.5945914387702942,0.6929134130477905,0.0,336.0,51.0
8,0.9885331988334656,0.9540441036224365,29.0,21.0,0.1176970973610878,0.01,0.9457626938819885,0.940731406211853,772.0,266.0,0.8917786478996277,0.8672376871109009,33.0,29.0,0.39721444249153137,0.6456692814826965,0.27941176295280457,311.0,94.0
9,0.995977520942688,0.9724264740943909,14.0,16.0,0.07443175464868546,0.01,0.993220329284668,0.9798234701156616,777.0,281.0,0.8896595239639282,0.8800856471061707,45.0,11.0,0.48900821805000305,0.7244094610214233,0.0,329.0,82.0
