epoch,AUC,accuracy,false_negatives,false_positives,loss,lr,sensitivity_at_specificity,specificity_at_sensitivity,true_negatives,true_positives,val_AUC,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_sensitivity_at_specificity,val_specificity_at_sensitivity,val_true_negatives,val_true_positives
0,0.5999102592468262,0.7178308963775635,237.0,70.0,0.5961030721664429,0.01,0.10169491171836853,0.06809584051370621,723.0,58.0,0.7307318449020386,0.7280513644218445,127.0,0.0,0.5539445281028748,0.16535432636737823,0.1352941244840622,340.0,0.0
1,0.8229230642318726,0.7977941036224365,180.0,40.0,0.44372883439064026,0.01,0.38983049988746643,0.316519558429718,753.0,115.0,0.799513578414917,0.7516059875488281,114.0,2.0,0.4920119345188141,0.34645670652389526,0.26764705777168274,338.0,13.0
2,0.8860260844230652,0.859375,92.0,61.0,0.3656471073627472,0.01,0.5762711763381958,0.4224463999271393,732.0,203.0,0.9083951115608215,0.8436830639839172,55.0,18.0,0.3768932521343231,0.4960629940032959,0.6323529481887817,322.0,72.0
3,0.938965916633606,0.8915441036224365,71.0,47.0,0.27307629585266113,0.01,0.6813559532165527,0.7225725054740906,746.0,224.0,0.8841014504432678,0.578158438205719,6.0,191.0,0.7376638650894165,0.5669291615486145,0.44999998807907104,149.0,121.0
4,0.9672237634658813,0.9191176295280457,39.0,49.0,0.2024780511856079,0.01,0.8610169291496277,0.8171500563621521,744.0,256.0,0.8828624486923218,0.8179871439933777,83.0,2.0,0.6414695382118225,0.5905511975288391,0.0,338.0,44.0
5,0.9523200988769531,0.9034926295280457,54.0,51.0,0.23875491321086884,0.01,0.7932203412055969,0.6683480739593506,742.0,241.0,0.8462251424789429,0.8158458471298218,85.0,1.0,0.5725212097167969,0.6220472455024719,0.0,339.0,42.0
6,0.9723619222640991,0.9503676295280457,39.0,15.0,0.17551496624946594,0.01,0.9186440706253052,0.8461538553237915,778.0,256.0,0.8935965895652771,0.8608136773109436,54.0,11.0,0.6340653300285339,0.6771653294563293,0.0,329.0,73.0
7,0.9794707894325256,0.9384191036224365,34.0,33.0,0.16164538264274597,0.01,0.8915254473686218,0.8915510773658752,760.0,261.0,0.8923575282096863,0.8650963306427002,43.0,20.0,0.4163273274898529,0.6456692814826965,0.0,320.0,84.0
8,0.9731550216674805,0.9338235259056091,41.0,31.0,0.1810954511165619,0.01,0.8677965998649597,0.8007566332817078,762.0,254.0,0.9290411472320557,0.8800856471061707,25.0,31.0,0.33332371711730957,0.7401574850082397,0.5794117450714111,309.0,102.0
9,0.9890161752700806,0.953125,21.0,30.0,0.11932166665792465,0.01,0.9457626938819885,0.940731406211853,763.0,274.0,0.9305117726325989,0.7473233342170715,11.0,107.0,0.46750468015670776,0.7165354490280151,0.550000011920929,233.0,116.0
10,0.9949173927307129,0.9724264740943909,12.0,18.0,0.0818430557847023,0.009995002,0.9728813767433167,0.9810844659805298,775.0,283.0,0.9234252572059631,0.8008565306663513,13.0,80.0,0.5806925296783447,0.7401574850082397,0.6058823466300964,260.0,114.0
11,0.9958536028862,0.9751838445663452,12.0,15.0,0.07007581740617752,0.009989508,0.9830508232116699,0.9848675727844238,778.0,283.0,0.8088350296020508,0.8522483706474304,62.0,7.0,1.279811143875122,0.5984252095222473,0.0,333.0,65.0
12,0.9876439571380615,0.9613970518112183,24.0,18.0,0.10765531659126282,0.009983518,0.9559321999549866,0.9546027779579163,775.0,271.0,0.8911302089691162,0.856531023979187,57.0,10.0,0.5988218188285828,0.7007874250411987,0.0,330.0,70.0
13,0.9859020113945007,0.9678308963775635,20.0,15.0,0.1068456619977951,0.009977033,0.9661017060279846,0.9684741497039795,778.0,275.0,0.9410490989685059,0.8800856471061707,14.0,42.0,0.3543253242969513,0.7952755689620972,0.8029412031173706,298.0,113.0
14,0.998811662197113,0.9871323704719543,10.0,4.0,0.04170269891619682,0.009970054,0.996610164642334,0.9987389445304871,789.0,285.0,0.9077003002166748,0.8094218373298645,14.0,75.0,0.6800801157951355,0.6850393414497375,0.5558823347091675,265.0,113.0
15,0.9937762022018433,0.9742646813392639,17.0,11.0,0.07823919504880905,0.009962582,0.9830508232116699,0.9848675727844238,782.0,278.0,0.9364867210388184,0.7301927208900452,5.0,121.0,0.7404571175575256,0.7559055089950562,0.7529411911964417,219.0,122.0
16,0.9978561997413635,0.9797794222831726,9.0,13.0,0.053744859993457794,0.009954618,0.9864406585693359,0.9924337863922119,780.0,286.0,0.9212367534637451,0.8779443502426147,26.0,31.0,0.4719882607460022,0.748031497001648,0.6294117569923401,309.0,101.0
17,0.9959582686424255,0.9788603186607361,12.0,11.0,0.06082353740930557,0.009946164,0.9864406585693359,0.9873896837234497,782.0,283.0,0.9095298051834106,0.8715203404426575,38.0,22.0,0.4333985149860382,0.6614173054695129,0.0,318.0,89.0
18,0.9766131043434143,0.9485294222831726,29.0,27.0,0.16755202412605286,0.00993722,0.9355932474136353,0.9293820858001709,766.0,266.0,0.9128879308700562,0.8865096569061279,36.0,17.0,0.45037320256233215,0.7165354490280151,0.0,323.0,91.0
19,0.9918096661567688,0.9696691036224365,18.0,15.0,0.10258840024471283,0.009927789,0.9728813767433167,0.9722572565078735,778.0,277.0,0.9267832040786743,0.8779443502426147,32.0,25.0,0.3484472334384918,0.6929134130477905,0.6088235378265381,315.0,95.0
20,0.9978114366531372,0.9852941036224365,10.0,6.0,0.045697979629039764,0.009917871,0.9830508232116699,0.994955837726593,787.0,285.0,0.9241893887519836,0.9014989137649536,32.0,14.0,0.4617832899093628,0.8503937125205994,0.0,326.0,95.0
21,0.9940431714057922,0.9742646813392639,13.0,15.0,0.07493268698453903,0.009907468,0.9830508232116699,0.9836065769195557,778.0,282.0,0.8676354289054871,0.8179871439933777,84.0,1.0,0.880872368812561,0.6929134130477905,0.0,339.0,43.0
22,0.9943573474884033,0.9898896813392639,4.0,7.0,0.043267566710710526,0.009896582,0.989830493927002,0.994955837726593,786.0,291.0,0.939045786857605,0.8886509537696838,24.0,28.0,0.3754892349243164,0.6850393414497375,0.7558823823928833,312.0,103.0
23,0.9999060034751892,0.9944853186607361,4.0,2.0,0.014977355487644672,0.009885214,1.0,1.0,791.0,291.0,0.9018294811248779,0.8650963306427002,34.0,29.0,0.5751809477806091,0.6220472455024719,0.0,311.0,93.0
24,0.9963578581809998,0.984375,9.0,8.0,0.049645114690065384,0.009873366,0.989830493927002,0.994955837726593,785.0,286.0,0.8748958110809326,0.8329764604568481,51.0,27.0,0.4345206618309021,0.5354330539703369,0.36176469922065735,313.0,76.0
25,0.999087393283844,0.9898896813392639,8.0,3.0,0.03085172176361084,0.00986104,0.993220329284668,0.9974779486656189,790.0,287.0,0.9122048020362854,0.8779443502426147,41.0,16.0,0.5419334173202515,0.7244094610214233,0.0,324.0,86.0
