epoch,AUC,accuracy,false_negatives,false_positives,loss,lr,sensitivity_at_specificity,specificity_at_sensitivity,true_negatives,true_positives,val_AUC,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_sensitivity_at_specificity,val_specificity_at_sensitivity,val_true_negatives,val_true_positives
0,0.5937760472297668,0.6911764740943909,246.0,90.0,0.6010340452194214,0.01,0.06101695075631142,0.06052963435649872,703.0,49.0,0.6352941393852234,0.7280513644218445,127.0,0.0,0.568795382976532,0.15748031437397003,0.07352941483259201,340.0,0.0
1,0.7913843393325806,0.779411792755127,210.0,30.0,0.4760369658470154,0.01,0.31525424122810364,0.24337957799434662,763.0,85.0,0.7630615830421448,0.7280513644218445,127.0,0.0,0.5736138224601746,0.19685038924217224,0.2088235318660736,340.0,0.0
2,0.8821317553520203,0.8354779481887817,120.0,59.0,0.3750460147857666,0.01,0.5254237055778503,0.4489281177520752,734.0,175.0,0.7961671948432922,0.8308351039886475,69.0,10.0,0.4665985703468323,0.4803149700164795,0.17058824002742767,330.0,58.0
3,0.9393742680549622,0.8878676295280457,67.0,55.0,0.27443888783454895,0.01,0.7118644118309021,0.7124842405319214,738.0,228.0,0.9306738972663879,0.8693790435791016,48.0,13.0,0.3028167188167572,0.6614173054695129,0.6499999761581421,327.0,79.0
4,0.959144651889801,0.9163603186607361,54.0,37.0,0.2211053967475891,0.01,0.8203389644622803,0.8083228468894958,756.0,241.0,0.8248841762542725,0.8158458471298218,85.0,1.0,1.0032404661178589,0.5669291615486145,0.0,339.0,42.0
5,0.9762285351753235,0.9411764740943909,35.0,29.0,0.16325511038303375,0.01,0.9016948938369751,0.8751576542854309,764.0,260.0,0.8913270831108093,0.8608136773109436,58.0,7.0,0.5458480715751648,0.6141732335090637,0.0,333.0,69.0
6,0.9736892580986023,0.9310661554336548,43.0,32.0,0.18079592287540436,0.01,0.8745762705802917,0.8625472784042358,761.0,252.0,0.8780569434165955,0.8115631937980652,86.0,2.0,0.7552834153175354,0.6062992215156555,0.0,338.0,41.0
7,0.9843418598175049,0.9402573704719543,32.0,33.0,0.14052098989486694,0.01,0.9186440706253052,0.9180327653884888,760.0,263.0,0.9240157604217529,0.8458244204521179,13.0,59.0,0.438999205827713,0.7401574850082397,0.5823529362678528,281.0,114.0
8,0.9823262691497803,0.953125,33.0,18.0,0.14213788509368896,0.01,0.9220339059829712,0.9142496585845947,775.0,262.0,0.873656690120697,0.8736616969108582,47.0,12.0,0.5920244455337524,0.6535432934761047,0.0,328.0,80.0
9,0.9846431016921997,0.9595588445663452,23.0,21.0,0.1346302479505539,0.01,0.9491525292396545,0.9445145130157471,772.0,272.0,0.9225800037384033,0.8693790435791016,56.0,5.0,0.4125847816467285,0.7165354490280151,0.0,335.0,71.0
10,0.992384672164917,0.9742646813392639,18.0,10.0,0.09191940724849701,0.009995002,0.9661017060279846,0.9760403633117676,783.0,277.0,0.9115794897079468,0.7815845608711243,11.0,91.0,0.7434235215187073,0.6692913174629211,0.6294117569923401,249.0,116.0
11,0.9927650690078735,0.970588207244873,16.0,16.0,0.08054916560649872,0.009989508,0.989830493927002,0.9785624146461487,777.0,279.0,0.9253820776939392,0.8779443502426147,39.0,18.0,0.3745439350605011,0.6850393414497375,0.6617646813392639,322.0,88.0
12,0.9898519515991211,0.9632353186607361,21.0,19.0,0.10278117656707764,0.009983518,0.9728813767433167,0.9722572565078735,774.0,274.0,0.8954029679298401,0.618843674659729,7.0,171.0,0.9198554158210754,0.5748031735420227,0.44117647409439087,169.0,120.0
13,0.9909611344337463,0.9632353186607361,22.0,18.0,0.10140040516853333,0.009977033,0.9694915413856506,0.9684741497039795,775.0,273.0,0.9117416143417358,0.7880085706710815,14.0,85.0,0.5264369249343872,0.6929134130477905,0.5970588326454163,255.0,113.0
14,0.995804488658905,0.9751838445663452,14.0,13.0,0.07162842154502869,0.009970054,0.9762712121009827,0.9861286282539368,780.0,281.0,0.8470589518547058,0.8479657173156738,67.0,4.0,0.5600638389587402,0.5433070659637451,0.0,336.0,60.0
15,0.99448561668396,0.9788603186607361,13.0,10.0,0.06527947634458542,0.009962582,0.9830508232116699,0.9873896837234497,783.0,282.0,0.9355836510658264,0.8286938071250916,12.0,68.0,0.4845131039619446,0.7244094610214233,0.6352941393852234,272.0,115.0
16,0.9970440864562988,0.9779411554336548,14.0,10.0,0.06057948246598244,0.009954618,0.9864406585693359,0.9899117350578308,783.0,281.0,0.8415470719337463,0.8308351039886475,48.0,31.0,0.719911515712738,0.5354330539703369,0.0,309.0,79.0
17,0.9946246147155762,0.9779411554336548,10.0,14.0,0.07120861858129501,0.009946164,0.9830508232116699,0.9924337863922119,779.0,285.0,0.9039602279663086,0.8672376871109009,51.0,11.0,0.45959290862083435,0.6850393414497375,0.0,329.0,76.0
18,0.9993802309036255,0.9926470518112183,5.0,3.0,0.03367679566144943,0.00993722,0.996610164642334,0.9987389445304871,790.0,290.0,0.9145322442054749,0.8886509537696838,25.0,27.0,0.4139028787612915,0.7401574850082397,0.5264706015586853,313.0,102.0
19,0.9944493174552917,0.9733455777168274,14.0,15.0,0.0716993510723114,0.009927789,0.9796609878540039,0.9861286282539368,778.0,281.0,0.9162343740463257,0.8822270035743713,40.0,15.0,0.45201781392097473,0.7086614370346069,0.0,325.0,87.0
20,0.9845960736274719,0.9650735259056091,25.0,13.0,0.11888708919286728,0.009917871,0.9593220353126526,0.9646910429000854,780.0,270.0,0.9316928386688232,0.8779443502426147,26.0,31.0,0.3019289970397949,0.6850393414497375,0.5970588326454163,309.0,101.0
21,0.9982666969299316,0.9908088445663452,5.0,5.0,0.047657471150159836,0.009907468,0.996610164642334,1.0,788.0,290.0,0.935815155506134,0.8929336071014404,31.0,19.0,0.45631012320518494,0.7401574850082397,0.7588235139846802,321.0,96.0
22,0.9981468915939331,0.982536792755127,13.0,6.0,0.048862211406230927,0.009896582,0.989830493927002,0.9936948418617249,787.0,282.0,0.846375584602356,0.8458244204521179,60.0,12.0,1.0856033563613892,0.6377952694892883,0.0,328.0,67.0
23,0.9990509748458862,0.9852941036224365,5.0,11.0,0.03926605358719826,0.009885214,1.0,0.9911727905273438,782.0,290.0,0.8784275054931641,0.8779443502426147,43.0,14.0,0.5182356834411621,0.7007874250411987,0.0,326.0,84.0
24,0.9953576922416687,0.9770220518112183,12.0,13.0,0.06971736252307892,0.009873366,0.9864406585693359,0.9848675727844238,780.0,283.0,0.930616021156311,0.8629550337791443,20.0,44.0,0.39643463492393494,0.7244094610214233,0.6205882430076599,296.0,107.0
25,0.9986235499382019,0.984375,8.0,9.0,0.043364353477954865,0.00986104,0.993220329284668,0.994955837726593,784.0,287.0,0.9047359824180603,0.8672376871109009,27.0,35.0,0.5642217993736267,0.6535432934761047,0.0,305.0,100.0
26,0.9990103840827942,0.9935661554336548,4.0,3.0,0.024224502965807915,0.009848237,1.0,0.9987389445304871,790.0,291.0,0.9245367646217346,0.8886509537696838,24.0,28.0,0.47105011343955994,0.8031495809555054,0.0,312.0,103.0
27,0.9954794645309448,0.9816176295280457,12.0,8.0,0.05856892094016075,0.00983496,0.993220329284668,0.9924337863922119,785.0,283.0,0.9339856505393982,0.8608136773109436,9.0,56.0,0.5985938906669617,0.7007874250411987,0.6823529601097107,284.0,118.0
28,0.9933507442474365,0.986213207244873,7.0,8.0,0.052240706980228424,0.00982121,0.989830493927002,0.994955837726593,785.0,288.0,0.9044116735458374,0.8779443502426147,45.0,12.0,0.4431440532207489,0.7165354490280151,0.0,328.0,82.0
29,0.9934789538383484,0.9871323704719543,9.0,5.0,0.054238177835941315,0.00980699,0.989830493927002,0.9974779486656189,788.0,286.0,0.9180639386177063,0.8950749635696411,27.0,22.0,0.40820756554603577,0.7322834730148315,0.5470588207244873,318.0,100.0
30,0.9982452392578125,0.9935661554336548,4.0,3.0,0.029375536367297173,0.009792301,0.993220329284668,1.0,790.0,291.0,0.8856067061424255,0.8629550337791443,59.0,5.0,0.8921093344688416,0.7716535329818726,0.0,335.0,68.0
31,0.9968196153640747,0.9908088445663452,7.0,3.0,0.037013936787843704,0.009777146,0.993220329284668,0.9974779486656189,790.0,288.0,0.901748538017273,0.8758029937744141,21.0,37.0,0.6021943688392639,0.7007874250411987,0.0,303.0,106.0
32,0.9984953999519348,0.9954044222831726,2.0,3.0,0.027479371055960655,0.009761528,0.996610164642334,0.9987389445304871,790.0,293.0,0.9135710597038269,0.8865096569061279,42.0,11.0,0.5145896673202515,0.8031495809555054,0.0,329.0,85.0
33,0.9995468258857727,0.9917279481887817,6.0,3.0,0.02310638129711151,0.009745448,0.996610164642334,1.0,790.0,289.0,0.8982747197151184,0.8800856471061707,47.0,9.0,0.6322654485702515,0.748031497001648,0.0,331.0,80.0
34,1.0,0.9990808963775635,1.0,0.0,0.00355237303301692,0.009728909,1.0,1.0,793.0,294.0,0.8864404559135437,0.9036402702331543,31.0,14.0,0.5346660614013672,0.7716535329818726,0.0,326.0,96.0
35,1.0,1.0,0.0,0.0,0.002394992159679532,0.009711913,1.0,1.0,793.0,295.0,0.9165354371070862,0.9036402702331543,24.0,21.0,0.4792046546936035,0.7795275449752808,0.0,319.0,103.0
36,0.9999999403953552,1.0,0.0,0.0,0.00123782258015126,0.009694463,1.0,1.0,793.0,295.0,0.9250926971435547,0.9057815670967102,24.0,20.0,0.47423940896987915,0.7952755689620972,0.0,320.0,103.0
37,1.0,1.0,0.0,0.0,0.0006083869957365096,0.009676561,1.0,1.0,793.0,295.0,0.9246875047683716,0.9079229235649109,23.0,20.0,0.4970838725566864,0.787401556968689,0.0,320.0,104.0
38,1.0,1.0,0.0,0.0,0.0005676161381416023,0.00965821,1.0,1.0,793.0,295.0,0.9247683882713318,0.9057815670967102,25.0,19.0,0.5108211040496826,0.787401556968689,0.0,321.0,102.0
39,1.0,1.0,0.0,0.0,0.00051563122542575,0.009639413,1.0,1.0,793.0,295.0,0.9197081923484802,0.9057815670967102,26.0,18.0,0.539516806602478,0.787401556968689,0.0,322.0,101.0
40,0.9992475509643555,0.9954044222831726,3.0,2.0,0.01597062684595585,0.009620173,1.0,0.9987389445304871,791.0,292.0,0.8998379111289978,0.8758029937744141,27.0,31.0,0.6651877760887146,0.7165354490280151,0.0,309.0,100.0
41,0.9874793887138367,0.9742646813392639,17.0,11.0,0.10003338009119034,0.009600492,0.9796609878540039,0.9823455214500427,782.0,278.0,0.6544117331504822,0.7665953040122986,109.0,0.0,3.503322124481201,0.32283464074134827,0.0,340.0,18.0
42,0.9938144683837891,0.9852941036224365,10.0,6.0,0.05751565843820572,0.009580374,0.989830493927002,0.994955837726593,787.0,285.0,0.9273391962051392,0.9036402702331543,35.0,10.0,0.4700695276260376,0.7559055089950562,0.0,330.0,92.0
43,0.998375654220581,0.9935661554336548,4.0,3.0,0.03057113103568554,0.00955982,0.996610164642334,1.0,790.0,291.0,0.9512968063354492,0.8886509537696838,19.0,33.0,0.382881760597229,0.7952755689620972,0.8029412031173706,307.0,108.0
44,0.9979117512702942,0.998161792755127,2.0,0.0,0.013177082873880863,0.009538835,0.996610164642334,1.0,793.0,293.0,0.9447544813156128,0.9014989137649536,16.0,30.0,0.4141096770763397,0.7952755689620972,0.7617647051811218,310.0,111.0
45,1.0,0.9990808963775635,1.0,0.0,0.0041501871310174465,0.009517421,1.0,1.0,793.0,294.0,0.9463871717453003,0.8950749635696411,15.0,34.0,0.4722941219806671,0.8188976645469666,0.7764706015586853,306.0,112.0
46,0.9900056719779968,0.9889705777168274,7.0,5.0,0.07392808794975281,0.0094955815,0.9830508232116699,0.994955837726593,788.0,288.0,0.8133974075317383,0.8522483706474304,60.0,9.0,1.0022635459899902,0.5984252095222473,0.0,331.0,67.0
47,0.9943361282348633,0.9724264740943909,21.0,9.0,0.08205701410770416,0.009473319,0.9762712121009827,0.9798234701156616,784.0,274.0,0.8420913219451904,0.8201285004615784,80.0,4.0,0.8987488150596619,0.6614173054695129,0.0,336.0,47.0
48,0.9957743883132935,0.9880514740943909,9.0,4.0,0.04458402097225189,0.009450638,0.9864406585693359,0.9987389445304871,789.0,286.0,0.866361677646637,0.8265524506568909,77.0,4.0,0.8500774502754211,0.6929134130477905,0.0,336.0,50.0
49,0.9969671368598938,0.9889705777168274,7.0,5.0,0.04051496833562851,0.00942754,0.993220329284668,0.994955837726593,788.0,288.0,0.846062958240509,0.8522483706474304,64.0,5.0,1.0914735794067383,0.6929134130477905,0.0,335.0,63.0
50,0.9996665716171265,0.9935661554336548,5.0,2.0,0.02034655772149563,0.00940403,0.996610164642334,1.0,791.0,290.0,0.8991315960884094,0.8950749635696411,29.0,20.0,0.5147298574447632,0.7165354490280151,0.0,320.0,98.0
51,0.9981085062026978,0.998161792755127,1.0,1.0,0.011042224243283272,0.009380111,0.996610164642334,1.0,792.0,294.0,0.9199166297912598,0.8736616969108582,33.0,26.0,0.4901118278503418,0.6929134130477905,0.0,314.0,94.0
