epoch,AUC,accuracy,false_negatives,false_positives,loss,lr,sensitivity_at_specificity,specificity_at_sensitivity,true_negatives,true_positives,val_AUC,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_sensitivity_at_specificity,val_specificity_at_sensitivity,val_true_negatives,val_true_positives
0,0.6464146375656128,0.7288603186607361,246.0,49.0,0.559257984161377,0.01,0.1322033852338791,0.17402270436286926,744.0,49.0,0.7289717197418213,0.7280513644218445,127.0,0.0,0.5704400539398193,0.16535432636737823,0.19705882668495178,340.0,0.0
1,0.8168487548828125,0.7996323704719543,178.0,40.0,0.44835591316223145,0.01,0.39322033524513245,0.2774274945259094,753.0,117.0,0.8318666815757751,0.7687366008758545,108.0,0.0,0.46630650758743286,0.4645669162273407,0.385294109582901,340.0,19.0
2,0.8949857950210571,0.8639705777168274,99.0,49.0,0.34426891803741455,0.01,0.6474575996398926,0.4174022674560547,744.0,196.0,0.9250116348266602,0.8715203404426575,46.0,14.0,0.30444222688674927,0.6692913174629211,0.6441176533699036,326.0,81.0
3,0.9348344802856445,0.9053308963775635,65.0,38.0,0.27113527059555054,0.01,0.7830508351325989,0.5535939335823059,755.0,230.0,0.9057549834251404,0.8715203404426575,53.0,7.0,0.3579348623752594,0.6535432934761047,0.41470587253570557,333.0,74.0
4,0.955449104309082,0.9181985259056091,53.0,36.0,0.2253911942243576,0.01,0.8406779766082764,0.7755359411239624,757.0,242.0,0.8533695936203003,0.7773019075393677,104.0,0.0,0.8055675029754639,0.5905511975288391,0.0,340.0,23.0
5,0.9659178853034973,0.9264705777168274,52.0,28.0,0.19753015041351318,0.01,0.8440678119659424,0.8247162699699402,765.0,243.0,0.8965609073638916,0.8394004106521606,72.0,3.0,0.5062309503555298,0.6299212574958801,0.520588219165802,337.0,55.0
6,0.9731934666633606,0.9319853186607361,40.0,34.0,0.18174892663955688,0.01,0.8644067645072937,0.8600252270698547,759.0,255.0,0.9449976682662964,0.8865096569061279,36.0,17.0,0.276523619890213,0.7165354490280151,0.7617647051811218,323.0,91.0
7,0.9824588298797607,0.9522058963775635,31.0,21.0,0.13979654014110565,0.01,0.9254237413406372,0.9205548763275146,772.0,264.0,0.9393469095230103,0.8886509537696838,45.0,7.0,0.30970150232315063,0.748031497001648,0.6147058606147766,333.0,82.0
8,0.9869643449783325,0.9568014740943909,26.0,21.0,0.11969342082738876,0.01,0.9593220353126526,0.9583858847618103,772.0,269.0,0.9396132230758667,0.8907923102378845,37.0,14.0,0.3098353445529938,0.7795275449752808,0.550000011920929,326.0,90.0
9,0.992591917514801,0.9623161554336548,25.0,16.0,0.0981353297829628,0.01,0.9728813767433167,0.9735183119773865,777.0,270.0,0.9465146064758301,0.8886509537696838,40.0,12.0,0.3233676850795746,0.7165354490280151,0.6617646813392639,328.0,87.0
10,0.9966486096382141,0.9788603186607361,11.0,12.0,0.06942909955978394,0.009995002,0.993220329284668,0.9848675727844238,781.0,284.0,0.9489694237709045,0.8650963306427002,13.0,50.0,0.331897497177124,0.7637795209884644,0.7088235020637512,290.0,114.0
11,0.991125762462616,0.9623161554336548,18.0,23.0,0.10503131151199341,0.009989508,0.9728813767433167,0.9697352051734924,770.0,277.0,0.9376331567764282,0.9122055768966675,32.0,9.0,0.2796339988708496,0.8031495809555054,0.6470588445663452,331.0,95.0
12,0.9817534685134888,0.9577205777168274,26.0,20.0,0.132379412651062,0.009983518,0.9525423645973206,0.9533417224884033,773.0,269.0,0.9386637210845947,0.8586723804473877,63.0,3.0,0.4426317811012268,0.7716535329818726,0.6941176652908325,337.0,64.0
13,0.9926689267158508,0.9595588445663452,24.0,20.0,0.09832688421010971,0.009977033,0.9559321999549866,0.9583858847618103,773.0,271.0,0.9597499370574951,0.9229121804237366,23.0,13.0,0.21476981043815613,0.8503937125205994,0.75,327.0,104.0
14,0.9929210543632507,0.9678308963775635,21.0,14.0,0.08672374486923218,0.009970054,0.9762712121009827,0.9760403633117676,779.0,274.0,0.9390343427658081,0.8950749635696411,36.0,13.0,0.3289596140384674,0.7559055089950562,0.0,327.0,91.0
15,0.999093770980835,0.986213207244873,7.0,8.0,0.03840918838977814,0.009962582,1.0,0.994955837726593,785.0,288.0,0.9288906455039978,0.91862952709198,30.0,8.0,0.37635302543640137,0.834645688533783,0.0,332.0,97.0
16,0.997356116771698,0.9889705777168274,10.0,2.0,0.034862715750932693,0.009954618,0.996610164642334,0.9987389445304871,791.0,285.0,0.9303612112998962,0.8329764604568481,20.0,58.0,0.44960981607437134,0.7637795209884644,0.6029411554336548,282.0,107.0
17,0.9994871020317078,0.9935661554336548,3.0,4.0,0.02177884802222252,0.009946164,0.996610164642334,0.9987389445304871,789.0,292.0,0.8794233202934265,0.8779443502426147,54.0,3.0,0.6475752592086792,0.7165354490280151,0.0,337.0,73.0
18,0.9986000657081604,0.986213207244873,10.0,5.0,0.03649459034204483,0.00993722,0.989830493927002,1.0,788.0,285.0,0.9260421991348267,0.897216260433197,35.0,13.0,0.6025878190994263,0.7559055089950562,0.0,327.0,92.0
19,0.9946117401123047,0.9733455777168274,17.0,12.0,0.08097396045923233,0.009927789,0.9762712121009827,0.9810844659805298,781.0,278.0,0.9561834335327148,0.8950749635696411,13.0,36.0,0.2807314395904541,0.8503937125205994,0.6147058606147766,304.0,114.0
20,0.9907324314117432,0.9761029481887817,15.0,11.0,0.07627259194850922,0.009917871,0.9796609878540039,0.9848675727844238,782.0,280.0,0.8285781145095825,0.4325481653213501,2.0,263.0,2.581200122833252,0.0,0.6029411554336548,77.0,125.0
21,0.9922757148742676,0.982536792755127,13.0,6.0,0.07329978793859482,0.009907468,0.9728813767433167,0.9924337863922119,787.0,282.0,0.8544696569442749,0.8372591137886047,75.0,1.0,0.9571517705917358,0.7244094610214233,0.0,339.0,52.0
22,0.9936115741729736,0.9678308963775635,19.0,16.0,0.08274847269058228,0.009896582,0.9830508232116699,0.9773013591766357,777.0,276.0,0.8903658986091614,0.8308351039886475,26.0,53.0,0.5022510290145874,0.6377952694892883,0.38235294818878174,287.0,101.0
23,0.9952145218849182,0.9761029481887817,13.0,13.0,0.069956474006176,0.009885214,0.9830508232116699,0.9836065769195557,780.0,282.0,0.9068087935447693,0.8715203404426575,55.0,5.0,0.754811704158783,0.7322834730148315,0.0,335.0,72.0
24,0.9913886785507202,0.9715073704719543,19.0,12.0,0.083513543009758,0.009873366,0.9694915413856506,0.9785624146461487,781.0,276.0,0.9233672618865967,0.8137044906616211,16.0,71.0,0.5537764430046082,0.7007874250411987,0.6499999761581421,269.0,111.0
25,0.9976916909217834,0.9908088445663452,6.0,4.0,0.027361826971173286,0.00986104,0.996610164642334,0.9987389445304871,789.0,289.0,0.9466651082038879,0.9036402702331543,29.0,16.0,0.33227410912513733,0.834645688533783,0.7470588088035583,324.0,98.0
26,0.9999914169311523,0.9972426295280457,2.0,1.0,0.005870522931218147,0.009848237,1.0,1.0,792.0,293.0,0.9337888956069946,0.8865096569061279,15.0,38.0,0.49246230721473694,0.787401556968689,0.6176470518112183,302.0,112.0
27,0.9998717308044434,0.9972426295280457,3.0,0.0,0.01076321117579937,0.00983496,1.0,1.0,793.0,292.0,0.91716068983078,0.8907923102378845,39.0,12.0,0.5198703408241272,0.7559055089950562,0.0,328.0,88.0
28,0.999957263469696,0.9954044222831726,2.0,3.0,0.008972452953457832,0.00982121,1.0,1.0,790.0,293.0,0.9331403374671936,0.8929336071014404,13.0,37.0,0.5212531089782715,0.7559055089950562,0.7323529124259949,303.0,114.0
