epoch,AUC,accuracy,false_negatives,false_positives,loss,lr,sensitivity_at_specificity,specificity_at_sensitivity,true_negatives,true_positives,val_AUC,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_sensitivity_at_specificity,val_specificity_at_sensitivity,val_true_negatives,val_true_positives
0,0.638405978679657,0.7178308963775635,239.0,68.0,0.5714390873908997,0.01,0.11864406615495682,0.12736444175243378,725.0,56.0,0.6766327023506165,0.7280513644218445,127.0,0.0,0.5670577883720398,0.17322835326194763,0.15882353484630585,340.0,0.0
1,0.8122982382774353,0.7849264740943909,194.0,40.0,0.45483359694480896,0.01,0.33898305892944336,0.3026481568813324,753.0,101.0,0.769256591796875,0.783725917339325,99.0,2.0,0.4914916753768921,0.35433071851730347,0.17941176891326904,338.0,28.0
2,0.8853143453598022,0.8474264740943909,122.0,44.0,0.36573511362075806,0.01,0.5288135409355164,0.3896595239639282,749.0,173.0,0.8816930055618286,0.8222697973251343,78.0,5.0,0.4111274778842926,0.6220472455024719,0.3588235378265381,335.0,49.0
3,0.935839056968689,0.8860294222831726,67.0,57.0,0.2792643904685974,0.01,0.68813556432724,0.7351828217506409,736.0,228.0,0.9028369188308716,0.8394004106521606,72.0,3.0,0.5127092599868774,0.6850393414497375,0.5176470875740051,337.0,55.0
4,0.961369514465332,0.9255514740943909,50.0,31.0,0.21538540720939636,0.01,0.8644067645072937,0.7868852615356445,762.0,245.0,0.8944187760353088,0.8479657173156738,64.0,7.0,0.424029678106308,0.5905511975288391,0.4941176474094391,333.0,63.0
5,0.97303307056427,0.9145220518112183,52.0,41.0,0.1862626075744629,0.01,0.8203389644622803,0.881462812423706,752.0,243.0,0.8772696852684021,0.8650963306427002,49.0,14.0,0.49297815561294556,0.6220472455024719,0.0,326.0,78.0
6,0.961352527141571,0.921875,48.0,37.0,0.21041041612625122,0.01,0.8372881412506104,0.8158890008926392,756.0,247.0,0.9318203330039978,0.8522483706474304,65.0,4.0,0.4187266230583191,0.7322834730148315,0.5588235259056091,336.0,62.0
7,0.9794814586639404,0.9457720518112183,37.0,22.0,0.15491370856761932,0.01,0.9118643999099731,0.9029003977775574,771.0,258.0,0.9466302990913391,0.8629550337791443,21.0,43.0,0.31498560309410095,0.787401556968689,0.7176470756530762,297.0,106.0
8,0.973858118057251,0.9329044222831726,39.0,34.0,0.1780775487422943,0.01,0.8745762705802917,0.8562421202659607,759.0,256.0,0.9316697120666504,0.8886509537696838,35.0,17.0,0.3207123279571533,0.7322834730148315,0.49705880880355835,323.0,92.0
9,0.9924787282943726,0.9659926295280457,16.0,21.0,0.09804884344339371,0.01,0.9796609878540039,0.9709962010383606,772.0,279.0,0.9243168234825134,0.7451820373535156,7.0,112.0,0.6880543231964111,0.7165354490280151,0.591176450252533,228.0,120.0
10,0.9967682957649231,0.982536792755127,11.0,8.0,0.048116009682416916,0.009995002,0.989830493927002,0.996216893196106,785.0,284.0,0.9238188862800598,0.8779443502426147,13.0,44.0,0.3677283823490143,0.7637795209884644,0.5764706134796143,296.0,114.0
11,0.9862313866615295,0.9632353186607361,23.0,17.0,0.1114036962389946,0.009989508,0.9661017060279846,0.9672130942344666,776.0,272.0,0.8940713405609131,0.299785852432251,1.0,326.0,2.3384552001953125,0.0,0.6470588445663452,14.0,126.0
12,0.9729155898094177,0.9375,34.0,34.0,0.1773410141468048,0.009983518,0.9050847291946411,0.8663303852081299,759.0,261.0,0.9468851089477539,0.9164882302284241,27.0,12.0,0.2512103319168091,0.787401556968689,0.7735294103622437,328.0,100.0
13,0.9973539113998413,0.9788603186607361,12.0,11.0,0.058279428631067276,0.009977033,0.989830493927002,0.9886506795883179,782.0,283.0,0.912783682346344,0.8822270035743713,42.0,13.0,0.48557329177856445,0.6850393414497375,0.0,327.0,85.0
14,0.9954388737678528,0.9770220518112183,11.0,14.0,0.07166203111410141,0.009970054,0.9864406585693359,0.9848675727844238,779.0,284.0,0.8572603464126587,0.8629550337791443,63.0,1.0,1.016260027885437,0.7322834730148315,0.0,339.0,64.0
15,0.9989290833473206,0.9908088445663452,6.0,4.0,0.03469813987612724,0.009962582,0.993220329284668,0.996216893196106,789.0,289.0,0.9518296718597412,0.9314774870872498,23.0,9.0,0.34561556577682495,0.834645688533783,0.0,331.0,104.0
16,0.996319591999054,0.9806985259056091,12.0,9.0,0.05431799963116646,0.009954618,0.989830493927002,0.9911727905273438,784.0,283.0,0.9593446850776672,0.9100642204284668,22.0,20.0,0.23556384444236755,0.8110235929489136,0.800000011920929,320.0,105.0
17,0.9909911751747131,0.966911792755127,20.0,16.0,0.09312760829925537,0.009946164,0.9661017060279846,0.9722572565078735,777.0,275.0,0.9428553581237793,0.8886509537696838,22.0,30.0,0.2933408319950104,0.7401574850082397,0.7176470756530762,310.0,105.0
18,0.9933720231056213,0.9806985259056091,13.0,8.0,0.06853414326906204,0.00993722,0.9830508232116699,0.9899117350578308,785.0,282.0,0.9559865593910217,0.9207708835601807,19.0,18.0,0.22616492211818695,0.8503937125205994,0.7235293984413147,322.0,108.0
19,0.9984610676765442,0.9889705777168274,6.0,6.0,0.03859822824597359,0.009927789,0.9864406585693359,1.0,787.0,289.0,0.9432376623153687,0.9014989137649536,26.0,20.0,0.2954217195510864,0.7795275449752808,0.7529411911964417,320.0,101.0
20,0.9908499717712402,0.9632353186607361,23.0,17.0,0.10429404675960541,0.009917871,0.9593220353126526,0.9583858847618103,776.0,272.0,0.9404354691505432,0.8886509537696838,48.0,4.0,0.34641033411026,0.7795275449752808,0.0,336.0,79.0
21,0.9965032339096069,0.9779411554336548,16.0,8.0,0.06232138350605965,0.009907468,0.9830508232116699,0.9899117350578308,785.0,279.0,0.9416860938072205,0.9100642204284668,27.0,15.0,0.29784148931503296,0.8188976645469666,0.6411764621734619,325.0,100.0
22,0.9971209764480591,0.9852941036224365,7.0,9.0,0.04262650012969971,0.009896582,0.996610164642334,0.994955837726593,784.0,288.0,0.9336614012718201,0.897216260433197,32.0,16.0,0.3877147436141968,0.7637795209884644,0.0,324.0,95.0
23,0.9984333515167236,0.9806985259056091,14.0,7.0,0.04615474492311478,0.009885214,0.989830493927002,0.994955837726593,786.0,281.0,0.8851783275604248,0.8907923102378845,46.0,5.0,0.9091472625732422,0.7795275449752808,0.0,335.0,81.0
24,0.9901703000068665,0.9678308963775635,21.0,14.0,0.09930906444787979,0.009873366,0.9728813767433167,0.9798234701156616,779.0,274.0,0.8306623101234436,0.8308351039886475,73.0,6.0,1.0238418579101562,0.5669291615486145,0.0,334.0,54.0
25,0.9982965588569641,0.9917279481887817,5.0,4.0,0.042574912309646606,0.00986104,0.996610164642334,0.996216893196106,789.0,290.0,0.9167901873588562,0.8608136773109436,20.0,45.0,0.4648419916629791,0.7165354490280151,0.5852941274642944,295.0,107.0
26,0.9958642721176147,0.9908088445663452,6.0,4.0,0.03086886741220951,0.009848237,0.993220329284668,0.9974779486656189,789.0,289.0,0.9310328960418701,0.7773019075393677,8.0,96.0,0.6874686479568481,0.7637795209884644,0.6764705777168274,244.0,119.0
27,0.9999573230743408,0.9944853186607361,3.0,3.0,0.010806522332131863,0.00983496,1.0,1.0,790.0,292.0,0.9280107021331787,0.9014989137649536,28.0,18.0,0.3701491951942444,0.7795275449752808,0.0,322.0,99.0
28,0.9998974800109863,0.9954044222831726,2.0,3.0,0.012113132514059544,0.00982121,1.0,1.0,790.0,293.0,0.9451713562011719,0.8543897271156311,11.0,57.0,0.5301257967948914,0.8031495809555054,0.7470588088035583,283.0,116.0
29,0.9938785433769226,0.9871323704719543,9.0,5.0,0.05131965130567551,0.00980699,0.989830493927002,0.9974779486656189,788.0,286.0,0.8995022177696228,0.8950749635696411,41.0,8.0,0.904278576374054,0.7637795209884644,0.0,332.0,86.0
30,0.9973433017730713,0.9935661554336548,5.0,2.0,0.03442507982254028,0.009792301,0.996610164642334,0.9987389445304871,791.0,290.0,0.9458545446395874,0.9100642204284668,19.0,23.0,0.3917471766471863,0.8267716765403748,0.7264705896377563,317.0,108.0
31,0.9999914765357971,0.9990808963775635,1.0,0.0,0.005537854041904211,0.009777146,1.0,1.0,793.0,294.0,0.9283696413040161,0.9122055768966675,24.0,17.0,0.48066362738609314,0.8110235929489136,0.0,323.0,103.0
32,0.9996899962425232,0.9944853186607361,3.0,3.0,0.01840405911207199,0.009761528,1.0,0.9987389445304871,790.0,292.0,0.9193955659866333,0.8758029937744141,36.0,22.0,0.39564985036849976,0.7086614370346069,0.5764706134796143,318.0,91.0
33,0.9997391700744629,0.9954044222831726,3.0,2.0,0.014535991474986076,0.009745448,0.996610164642334,1.0,791.0,292.0,0.9322719573974609,0.8993576169013977,30.0,17.0,0.4831838607788086,0.7716535329818726,0.0,323.0,97.0
34,0.9823988676071167,0.9880514740943909,11.0,2.0,0.09120707213878632,0.009728909,0.9728813767433167,0.9974779486656189,791.0,284.0,0.9361974000930786,0.8907923102378845,20.0,31.0,0.33767586946487427,0.8031495809555054,0.6205882430076599,309.0,107.0
35,0.997952401638031,0.9908088445663452,6.0,4.0,0.04240124672651291,0.009711913,0.996610164642334,0.9974779486656189,789.0,289.0,0.9440481066703796,0.9057815670967102,39.0,5.0,0.35069167613983154,0.7952755689620972,0.7058823704719543,335.0,88.0
36,0.9985189437866211,0.9898896813392639,7.0,4.0,0.03732099384069443,0.009694463,0.993220329284668,0.996216893196106,789.0,288.0,0.9019569158554077,0.8950749635696411,40.0,9.0,0.6010429263114929,0.7637795209884644,0.0,331.0,87.0
37,0.9995554685592651,0.9935661554336548,4.0,3.0,0.02310003712773323,0.009676561,0.996610164642334,0.9987389445304871,790.0,291.0,0.9490852355957031,0.9143468737602234,25.0,15.0,0.3444395661354065,0.8031495809555054,0.7941176295280457,325.0,102.0
38,0.999995768070221,0.9990808963775635,1.0,0.0,0.005256539676338434,0.00965821,1.0,1.0,793.0,294.0,0.9439672827720642,0.9036402702331543,22.0,23.0,0.3894917368888855,0.7952755689620972,0.7558823823928833,317.0,105.0
39,1.0000001192092896,0.9990808963775635,1.0,0.0,0.002680483041331172,0.009639413,1.0,1.0,793.0,294.0,0.9151923060417175,0.8993576169013977,29.0,18.0,0.5178759098052979,0.7716535329818726,0.0,322.0,98.0
40,0.9999615550041199,0.998161792755127,1.0,1.0,0.006209203973412514,0.009620173,1.0,1.0,792.0,294.0,0.8836961984634399,0.8950749635696411,38.0,11.0,0.7026504874229431,0.7716535329818726,0.0,329.0,89.0
41,0.9980080127716064,0.9917279481887817,5.0,4.0,0.023705296218395233,0.009600492,0.996610164642334,1.0,789.0,290.0,0.9217461943626404,0.8072805404663086,5.0,85.0,1.0317575931549072,0.0,0.7941176295280457,255.0,122.0
42,0.9936777949333191,0.9779411554336548,12.0,12.0,0.07373851537704468,0.009580374,0.989830493927002,0.9873896837234497,781.0,283.0,0.9177512526512146,0.8479657173156738,25.0,46.0,0.4502067565917969,0.7165354490280151,0.5764706134796143,294.0,102.0
43,0.9957872629165649,0.9834558963775635,9.0,9.0,0.054864995181560516,0.00955982,0.989830493927002,0.9911727905273438,784.0,286.0,0.8997683525085449,0.8758029937744141,51.0,7.0,0.5710172653198242,0.748031497001648,0.0,333.0,76.0
44,0.9998803734779358,0.9935661554336548,3.0,4.0,0.015886029228568077,0.009538835,1.0,1.0,789.0,292.0,0.92560213804245,0.8907923102378845,32.0,19.0,0.48143720626831055,0.7401574850082397,0.0,321.0,95.0
45,0.9980934262275696,0.9954044222831726,3.0,2.0,0.016420049592852592,0.009517421,0.996610164642334,1.0,791.0,292.0,0.941720724105835,0.91862952709198,22.0,16.0,0.4356623589992523,0.8267716765403748,0.0,324.0,105.0
46,0.9997863173484802,0.9963235259056091,2.0,2.0,0.01433284766972065,0.0094955815,1.0,0.9987389445304871,791.0,293.0,0.9044812321662903,0.8929336071014404,36.0,14.0,0.6555800437927246,0.748031497001648,0.0,326.0,91.0
47,0.9991344213485718,0.9972426295280457,1.0,2.0,0.01669374108314514,0.009473319,1.0,0.9987389445304871,791.0,294.0,0.91978919506073,0.897216260433197,28.0,20.0,0.5047215819358826,0.7795275449752808,0.0,320.0,99.0
48,0.9944707155227661,0.9944853186607361,5.0,1.0,0.07312613725662231,0.009450638,0.9864406585693359,1.0,792.0,290.0,0.935352087020874,0.9164882302284241,21.0,18.0,0.38069072365760803,0.8267716765403748,0.0,322.0,106.0
49,0.9976425766944885,0.9963235259056091,3.0,1.0,0.02195657044649124,0.00942754,0.996610164642334,1.0,792.0,292.0,0.945379912853241,0.9293361902236938,17.0,16.0,0.34230613708496094,0.874015748500824,0.699999988079071,324.0,110.0
50,0.9996324181556702,0.9954044222831726,3.0,2.0,0.018640372902154922,0.00940403,1.0,0.9987389445304871,791.0,292.0,0.9273391366004944,0.8929336071014404,22.0,28.0,0.4083101749420166,0.7795275449752808,0.0,312.0,105.0
51,0.9997286796569824,0.9898896813392639,7.0,4.0,0.020765112712979317,0.009380111,1.0,1.0,789.0,288.0,0.9342867732048035,0.8950749635696411,13.0,36.0,0.46037542819976807,0.7716535329818726,0.7088235020637512,304.0,114.0
52,0.9963023662567139,0.9963235259056091,4.0,0.0,0.027552075684070587,0.009355785,0.993220329284668,1.0,793.0,291.0,0.9389416575431824,0.9057815670967102,23.0,21.0,0.3992549180984497,0.7716535329818726,0.0,319.0,104.0
53,0.9935003519058228,0.9898896813392639,4.0,7.0,0.051562026143074036,0.009331058,0.993220329284668,0.996216893196106,786.0,291.0,0.9215494394302368,0.8950749635696411,19.0,30.0,0.42003145813941956,0.7795275449752808,0.4676470458507538,310.0,108.0
54,0.9971058964729309,0.9908088445663452,6.0,4.0,0.036373239010572433,0.009305932,0.989830493927002,0.9987389445304871,789.0,289.0,0.906021237373352,0.8137044906616211,22.0,65.0,0.5484040379524231,0.6535432934761047,0.4941176474094391,275.0,105.0
55,0.9998632669448853,0.9954044222831726,3.0,2.0,0.013145252130925655,0.009280411,1.0,0.9987389445304871,791.0,292.0,0.9419755339622498,0.8907923102378845,20.0,31.0,0.3452349007129669,0.8110235929489136,0.6058823466300964,309.0,107.0
56,0.9959283471107483,0.9944853186607361,4.0,2.0,0.037329137325286865,0.009254498,0.993220329284668,1.0,791.0,291.0,0.9322139620780945,0.9036402702331543,33.0,12.0,0.42224088311195374,0.787401556968689,0.0,328.0,94.0
57,0.999927282333374,0.9954044222831726,3.0,2.0,0.01448428351432085,0.009228198,1.0,1.0,791.0,292.0,0.9500926733016968,0.9122055768966675,24.0,17.0,0.3315308690071106,0.8267716765403748,0.7323529124259949,323.0,103.0
58,0.9999956488609314,0.9990808963775635,1.0,0.0,0.0065552424639463425,0.009201514,1.0,1.0,793.0,294.0,0.9288327097892761,0.9100642204284668,28.0,14.0,0.39519354701042175,0.8267716765403748,0.0,326.0,99.0
59,1.0,1.0,0.0,0.0,0.0022946163080632687,0.009174449,1.0,1.0,793.0,295.0,0.9445923566818237,0.9036402702331543,16.0,29.0,0.46619004011154175,0.8110235929489136,0.7911764979362488,311.0,111.0
60,0.9999999403953552,1.0,0.0,0.0,0.00115226733032614,0.009147008,1.0,1.0,793.0,295.0,0.9371237754821777,0.9100642204284668,17.0,25.0,0.4657978415489197,0.8425197005271912,0.0,315.0,110.0
61,1.0,1.0,0.0,0.0,0.0019476860761642456,0.009119194,1.0,1.0,793.0,295.0,0.919800877571106,0.9143468737602234,22.0,18.0,0.5112191438674927,0.8267716765403748,0.0,322.0,105.0
62,0.9981339573860168,0.9935661554336548,3.0,4.0,0.02133530005812645,0.009091012,0.996610164642334,1.0,789.0,292.0,0.8974177837371826,0.8865096569061279,40.0,13.0,0.7050504684448242,0.7165354490280151,0.0,327.0,87.0
63,0.9948041439056396,0.9806985259056091,12.0,9.0,0.055567432194948196,0.009062465,0.9864406585693359,0.9974779486656189,784.0,283.0,0.9404816627502441,0.9057815670967102,23.0,21.0,0.3612525463104248,0.8110235929489136,0.6735293865203857,319.0,104.0
