epoch,AUC,accuracy,false_negatives,false_positives,loss,lr,sensitivity_at_specificity,specificity_at_sensitivity,true_negatives,true_positives,val_AUC,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_sensitivity_at_specificity,val_specificity_at_sensitivity,val_true_negatives,val_true_positives
0,0.6363199353218079,0.7408088445663452,248.0,34.0,0.5632088780403137,0.01,0.19661016762256622,0.12736444175243378,759.0,47.0,0.699270486831665,0.7280513644218445,127.0,0.0,0.5654622316360474,0.22047244012355804,0.11176470667123795,340.0,0.0
1,0.820435106754303,0.8042279481887817,170.0,43.0,0.4439926743507385,0.01,0.4033898413181305,0.27616646885871887,750.0,125.0,0.810815155506134,0.7473233342170715,118.0,0.0,0.4934536814689636,0.4724409580230713,0.2441176474094391,340.0,9.0
2,0.8893004655838013,0.873161792755127,104.0,34.0,0.35034772753715515,0.01,0.6576271057128906,0.316519558429718,759.0,191.0,0.822776734828949,0.7558886408805847,113.0,1.0,0.6089594960212708,0.4645669162273407,0.16470588743686676,339.0,14.0
3,0.9202640652656555,0.8841911554336548,71.0,55.0,0.30435654520988464,0.01,0.701694905757904,0.5119798183441162,738.0,224.0,0.8419291377067566,0.7794432640075684,101.0,2.0,0.5868638753890991,0.5590550899505615,0.16470588743686676,338.0,26.0
4,0.9455618262290955,0.8943014740943909,69.0,46.0,0.2552327513694763,0.01,0.7423728704452515,0.6822194457054138,747.0,226.0,0.8917206525802612,0.8329764604568481,77.0,1.0,0.5213218927383423,0.6692913174629211,0.0,339.0,50.0
5,0.9796525239944458,0.9375,42.0,26.0,0.159577876329422,0.01,0.8847457766532898,0.9167717695236206,767.0,253.0,0.8500694632530212,0.8394004106521606,71.0,4.0,0.7821221351623535,0.6771653294563293,0.0,336.0,56.0
6,0.9794130325317383,0.951286792755127,32.0,21.0,0.14655202627182007,0.01,0.9423728585243225,0.9293820858001709,772.0,263.0,0.9125868082046509,0.8715203404426575,37.0,23.0,0.422865092754364,0.6535432934761047,0.5382353067398071,317.0,90.0
7,0.966539740562439,0.9329044222831726,37.0,36.0,0.19486500322818756,0.01,0.8847457766532898,0.8310214281082153,757.0,258.0,0.9249190092086792,0.8308351039886475,75.0,4.0,0.4305347204208374,0.6614173054695129,0.4647058844566345,336.0,52.0
8,0.9876803755760193,0.9659926295280457,20.0,17.0,0.10791391134262085,0.01,0.9593220353126526,0.9646910429000854,776.0,275.0,0.9231705069541931,0.835117757320404,12.0,65.0,0.480661004781723,0.6535432934761047,0.6176470518112183,275.0,115.0
9,0.988118588924408,0.9558823704719543,25.0,23.0,0.12419110536575317,0.01,0.9288135766983032,0.9382093548774719,770.0,270.0,0.9268643856048584,0.8608136773109436,56.0,9.0,0.44815972447395325,0.7007874250411987,0.0,331.0,71.0
10,0.9932031631469727,0.96875,18.0,16.0,0.08497470617294312,0.009995002,0.9694915413856506,0.9672130942344666,777.0,277.0,0.9311370253562927,0.8822270035743713,17.0,38.0,0.34894272685050964,0.7244094610214233,0.6676470637321472,302.0,110.0
11,0.9811487197875977,0.9448529481887817,34.0,26.0,0.15039269626140594,0.009989508,0.9288135766983032,0.935687243938446,767.0,261.0,0.9197313189506531,0.8608136773109436,24.0,41.0,0.33907240629196167,0.7244094610214233,0.49117645621299744,299.0,103.0
12,0.994855523109436,0.9788603186607361,14.0,9.0,0.07597401738166809,0.009983518,0.9864406585693359,0.9886506795883179,784.0,281.0,0.9462830424308777,0.8993576169013977,32.0,15.0,0.3172735571861267,0.787401556968689,0.6911764740943909,325.0,95.0
13,0.9883087277412415,0.9733455777168274,19.0,10.0,0.0860266163945198,0.009977033,0.9627118706703186,0.9836065769195557,783.0,276.0,0.9245947003364563,0.8758029937744141,20.0,38.0,0.36622151732444763,0.7559055089950562,0.5411764979362488,302.0,107.0
14,0.9914505481719971,0.970588207244873,17.0,15.0,0.09032406657934189,0.009970054,0.9830508232116699,0.9760403633117676,778.0,278.0,0.9066814184188843,0.8693790435791016,34.0,27.0,0.3969707489013672,0.6771653294563293,0.4647058844566345,313.0,93.0
15,0.9926367402076721,0.9797794222831726,13.0,9.0,0.06813910603523254,0.009962582,0.989830493927002,0.9899117350578308,784.0,282.0,0.9324803352355957,0.8993576169013977,25.0,22.0,0.34796345233917236,0.787401556968689,0.6147058606147766,318.0,102.0
16,0.997905433177948,0.9816176295280457,8.0,12.0,0.05107227340340614,0.009954618,0.993220329284668,0.9936948418617249,781.0,287.0,0.9240157604217529,0.8543897271156311,27.0,41.0,0.37036433815956116,0.6614173054695129,0.6470588445663452,299.0,100.0
17,0.9964157342910767,0.9779411554336548,14.0,10.0,0.05750230327248573,0.009946164,0.993220329284668,0.9873896837234497,783.0,281.0,0.8908522725105286,0.8608136773109436,63.0,2.0,0.7050910592079163,0.7401574850082397,0.0,338.0,64.0
18,0.9964455366134644,0.9797794222831726,13.0,9.0,0.06256218999624252,0.00993722,0.9830508232116699,0.9911727905273438,784.0,282.0,0.8983325958251953,0.8886509537696838,44.0,8.0,0.4755058288574219,0.7322834730148315,0.0,332.0,83.0
19,0.9939149022102356,0.9724264740943909,17.0,13.0,0.07457693666219711,0.009927789,0.9796609878540039,0.9836065769195557,780.0,278.0,0.8644973635673523,0.7730192542076111,24.0,82.0,0.864244818687439,0.6614173054695129,0.0,258.0,103.0
20,0.9948917627334595,0.9797794222831726,13.0,9.0,0.06051050126552582,0.009917871,0.9830508232116699,0.9899117350578308,784.0,282.0,0.9196734428405762,0.7194860577583313,4.0,127.0,0.8992877006530762,0.6771653294563293,0.6705882549285889,213.0,123.0
21,0.9924252033233643,0.9908088445663452,7.0,3.0,0.06120581552386284,0.009907468,0.9796609878540039,0.9987389445304871,790.0,288.0,0.917600691318512,0.6702355742454529,4.0,150.0,1.0795398950576782,0.7401574850082397,0.6705882549285889,190.0,123.0
22,0.9985658526420593,0.9926470518112183,4.0,4.0,0.03831445053219795,0.009896582,0.996610164642334,0.996216893196106,789.0,291.0,0.915226936340332,0.8822270035743713,44.0,11.0,0.47894740104675293,0.7165354490280151,0.0,329.0,83.0
23,0.9972898364067078,0.9797794222831726,11.0,11.0,0.05505608767271042,0.009885214,0.9864406585693359,0.9886506795883179,782.0,284.0,0.9133510589599609,0.8629550337791443,34.0,30.0,0.4506341218948364,0.6771653294563293,0.6470588445663452,310.0,93.0
24,0.9988030791282654,0.9852941036224365,8.0,8.0,0.03907730430364609,0.009873366,0.993220329284668,0.996216893196106,785.0,287.0,0.9216882586479187,0.8800856471061707,34.0,22.0,0.4573443531990051,0.6692913174629211,0.0,318.0,93.0
