epoch,AUC,accuracy,false_negatives,false_positives,loss,lr,sensitivity_at_specificity,specificity_at_sensitivity,true_negatives,true_positives,val_AUC,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_sensitivity_at_specificity,val_specificity_at_sensitivity,val_true_negatives,val_true_positives
0,0.5895825624465942,0.6957720518112183,257.0,74.0,0.6101469993591309,0.01,0.05423728749155998,0.13619168102741241,719.0,38.0,0.639752209186554,0.7280513644218445,127.0,0.0,0.5970534682273865,0.11811023950576782,0.07058823853731155,340.0,0.0
1,0.813726007938385,0.7959558963775635,173.0,49.0,0.45637741684913635,0.01,0.3627118766307831,0.31778058409690857,744.0,122.0,0.8332793712615967,0.7451820373535156,119.0,0.0,0.544590175151825,0.4409448802471161,0.3794117569923401,340.0,8.0
2,0.9013721942901611,0.861213207244873,95.0,56.0,0.3466896712779999,0.01,0.5796610116958618,0.501891553401947,737.0,200.0,0.867519736289978,0.7708779573440552,106.0,1.0,0.6006233096122742,0.5354330539703369,0.3235294222831726,339.0,21.0
3,0.9419005513191223,0.9007353186607361,65.0,43.0,0.26242002844810486,0.01,0.7593220472335815,0.6633039116859436,750.0,230.0,0.9259610772132874,0.856531023979187,62.0,5.0,0.39702460169792175,0.6614173054695129,0.5970588326454163,335.0,65.0
4,0.959027111530304,0.9227941036224365,49.0,35.0,0.21876560151576996,0.01,0.8542372584342957,0.8007566332817078,758.0,246.0,0.8622047901153564,0.762312650680542,111.0,0.0,0.8966979384422302,0.5433070659637451,0.0,340.0,16.0
5,0.9592515826225281,0.9246323704719543,52.0,30.0,0.2107832133769989,0.01,0.8440678119659424,0.7175284028053284,763.0,243.0,0.9332908391952515,0.41327622532844543,0.0,274.0,1.2165213823318481,0.7086614370346069,0.6176470518112183,66.0,127.0
6,0.9846025109291077,0.9420955777168274,37.0,26.0,0.14202170073986053,0.01,0.9084745645523071,0.9255989789962769,767.0,258.0,0.9232284426689148,0.8865096569061279,29.0,24.0,0.3420562446117401,0.7637795209884644,0.5823529362678528,316.0,98.0
7,0.960809588432312,0.9090073704719543,54.0,45.0,0.21892210841178894,0.01,0.803389847278595,0.8133669495582581,748.0,241.0,0.9414544105529785,0.8993576169013977,15.0,32.0,0.27119264006614685,0.8188976645469666,0.5147058963775635,308.0,112.0
8,0.9806378483772278,0.9476103186607361,30.0,27.0,0.15230803191661835,0.01,0.9288135766983032,0.9079445004463196,766.0,265.0,0.8550485968589783,0.7644539475440979,109.0,1.0,0.9397493004798889,0.6850393414497375,0.0,339.0,18.0
9,0.9943317174911499,0.9742646813392639,18.0,10.0,0.08372519165277481,0.01,0.9762712121009827,0.9823455214500427,783.0,277.0,0.9598540663719177,0.9336188435554504,21.0,10.0,0.22808006405830383,0.8897637724876404,0.841176450252533,330.0,106.0
