epoch,AUC,accuracy,false_negatives,false_positives,loss,lr,sensitivity_at_specificity,specificity_at_sensitivity,true_negatives,true_positives,val_AUC,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_sensitivity_at_specificity,val_specificity_at_sensitivity,val_true_negatives,val_true_positives
0,0.5665783286094666,0.7113970518112183,263.0,51.0,0.5963457822799683,0.01,0.08813559263944626,0.06935687363147736,742.0,32.0,0.6183418035507202,0.7280513644218445,127.0,0.0,0.5746033787727356,0.11811023950576782,0.0941176488995552,340.0,0.0
1,0.7695300579071045,0.7683823704719543,219.0,33.0,0.4899079501628876,0.01,0.29830509424209595,0.2686002552509308,760.0,76.0,0.8280916810035706,0.7387580275535583,122.0,0.0,0.5066404938697815,0.4251968562602997,0.2294117659330368,340.0,5.0
2,0.8670721054077148,0.8134191036224365,141.0,62.0,0.3922731280326843,0.01,0.4372881352901459,0.45018914341926575,731.0,154.0,0.898888349533081,0.8137044906616211,86.0,1.0,0.4039926528930664,0.5905511975288391,0.49705880880355835,339.0,41.0
3,0.9353666305541992,0.908088207244873,62.0,38.0,0.2730386257171631,0.01,0.7966101765632629,0.5914249420166016,755.0,233.0,0.8871353268623352,0.7987151741981506,28.0,66.0,0.4248257875442505,0.6062992215156555,0.5088235139846802,274.0,99.0
4,0.9547865986824036,0.9090073704719543,59.0,40.0,0.23273487389087677,0.01,0.7966101765632629,0.7894073128700256,753.0,236.0,0.9424733519554138,0.8672376871109009,48.0,14.0,0.32398146390914917,0.7244094610214233,0.6705882549285889,326.0,79.0
5,0.9671575427055359,0.9365808963775635,40.0,29.0,0.18920236825942993,0.01,0.8813559412956238,0.8171500563621521,764.0,255.0,0.9326077103614807,0.8779443502426147,49.0,8.0,0.31973251700401306,0.6929134130477905,0.570588231086731,332.0,78.0
6,0.9701669812202454,0.9347426295280457,44.0,27.0,0.18150772154331207,0.01,0.8677965998649597,0.8549810647964478,766.0,251.0,0.9221745133399963,0.8715203404426575,43.0,17.0,0.31130465865135193,0.6614173054695129,0.5882353186607361,323.0,84.0
7,0.9707012176513672,0.9191176295280457,49.0,39.0,0.18944768607616425,0.01,0.8338983058929443,0.8423707485198975,754.0,246.0,0.8782422542572021,0.8501070737838745,56.0,14.0,0.3774917423725128,0.6456692814826965,0.2029411792755127,326.0,71.0
8,0.9811528325080872,0.9476103186607361,36.0,21.0,0.14196719229221344,0.01,0.9288135766983032,0.9192938208580017,772.0,259.0,0.9367182850837708,0.7516059875488281,7.0,109.0,0.6460763812065125,0.748031497001648,0.6441176533699036,231.0,120.0
9,0.9918053150177002,0.966911792755127,17.0,19.0,0.09888295829296112,0.01,0.9694915413856506,0.9722572565078735,774.0,278.0,0.9429249167442322,0.9100642204284668,27.0,15.0,0.27510157227516174,0.787401556968689,0.6941176652908325,325.0,100.0
10,0.9791309237480164,0.9476103186607361,33.0,24.0,0.14634568989276886,0.009995002,0.9288135766983032,0.9167717695236206,769.0,262.0,0.9483557939529419,0.9100642204284668,23.0,19.0,0.26096591353416443,0.7952755689620972,0.800000011920929,321.0,104.0
11,0.988875150680542,0.9641544222831726,24.0,15.0,0.11052197217941284,0.009989508,0.9762712121009827,0.9735183119773865,778.0,271.0,0.9448124766349792,0.8394004106521606,17.0,58.0,0.42661261558532715,0.7952755689620972,0.7352941036224365,282.0,110.0
12,0.9956440925598145,0.9751838445663452,13.0,14.0,0.07046787440776825,0.009983518,0.9796609878540039,0.9873896837234497,779.0,282.0,0.8859542012214661,0.8629550337791443,58.0,6.0,0.5642427206039429,0.6850393414497375,0.0,334.0,69.0
13,0.9876076579093933,0.96875,22.0,12.0,0.10773497074842453,0.009977033,0.9457626938819885,0.941992461681366,781.0,273.0,0.9166164398193359,0.8800856471061707,32.0,24.0,0.38470280170440674,0.7007874250411987,0.6117647290229797,316.0,95.0
14,0.9942654371261597,0.9751838445663452,13.0,14.0,0.08436799049377441,0.009970054,0.9694915413856506,0.9848675727844238,779.0,282.0,0.8717230558395386,0.8115631937980652,87.0,1.0,0.8767923712730408,0.748031497001648,0.0,339.0,40.0
15,0.9960864186286926,0.9806985259056091,13.0,8.0,0.05738753452897072,0.009962582,0.9864406585693359,0.994955837726593,785.0,282.0,0.9390226006507874,0.8886509537696838,40.0,12.0,0.3353220522403717,0.7559055089950562,0.0,328.0,87.0
16,0.9929637908935547,0.9788603186607361,12.0,11.0,0.0710238441824913,0.009954618,0.9864406585693359,0.9873896837234497,782.0,283.0,0.9259033203125,0.8672376871109009,22.0,40.0,0.380733847618103,0.7559055089950562,0.591176450252533,300.0,105.0
17,0.9877444505691528,0.9632353186607361,21.0,19.0,0.11427371203899384,0.009946164,0.9694915413856506,0.9672130942344666,774.0,274.0,0.9153426885604858,0.8479657173156738,18.0,53.0,0.42718374729156494,0.7637795209884644,0.5058823823928833,287.0,109.0
18,0.9966422319412231,0.9788603186607361,15.0,8.0,0.06417912244796753,0.00993722,0.9762712121009827,0.9899117350578308,785.0,280.0,0.9341013431549072,0.8758029937744141,18.0,40.0,0.3599313795566559,0.7007874250411987,0.7088235020637512,300.0,109.0
19,0.9951823353767395,0.9742646813392639,14.0,14.0,0.07558318972587585,0.009927789,0.9830508232116699,0.9823455214500427,779.0,281.0,0.9173344373703003,0.8693790435791016,29.0,32.0,0.47305554151535034,0.7086614370346069,0.6264705657958984,308.0,98.0
20,0.9948510527610779,0.970588207244873,21.0,11.0,0.08174452930688858,0.009917871,0.9796609878540039,0.9709962010383606,782.0,274.0,0.9466882944107056,0.9079229235649109,21.0,22.0,0.3069312274456024,0.787401556968689,0.800000011920929,318.0,106.0
21,0.9951204657554626,0.9770220518112183,14.0,11.0,0.06684044003486633,0.009907468,0.9830508232116699,0.9861286282539368,782.0,281.0,0.879944384098053,0.8479657173156738,66.0,5.0,0.8151648044586182,0.7007874250411987,0.0,335.0,61.0
22,0.9999508261680603,0.9972426295280457,2.0,1.0,0.01273541059345007,0.009896582,1.0,1.0,792.0,293.0,0.9089393615722656,0.8800856471061707,47.0,9.0,0.5550075173377991,0.7401574850082397,0.0,331.0,80.0
23,0.9979181885719299,0.9926470518112183,4.0,4.0,0.023659510537981987,0.009885214,0.996610164642334,1.0,789.0,291.0,0.9431217312812805,0.9100642204284668,25.0,17.0,0.3630530536174774,0.8031495809555054,0.0,323.0,102.0
24,0.9978029131889343,0.9852941036224365,10.0,6.0,0.04666786268353462,0.009873366,0.989830493927002,0.994955837726593,787.0,285.0,0.9042380452156067,0.8800856471061707,48.0,8.0,0.5339547395706177,0.787401556968689,0.0,332.0,79.0
25,0.9982367157936096,0.9889705777168274,6.0,6.0,0.03830287232995033,0.00986104,0.996610164642334,0.996216893196106,787.0,289.0,0.9220356345176697,0.8843683004379272,38.0,16.0,0.5438883900642395,0.7086614370346069,0.0,324.0,89.0
26,0.9995597004890442,0.9972426295280457,2.0,1.0,0.017388924956321716,0.009848237,1.0,0.9987389445304871,792.0,293.0,0.9282190799713135,0.9164882302284241,22.0,17.0,0.6141099333763123,0.834645688533783,0.0,323.0,105.0
27,0.9998739361763,0.9972426295280457,1.0,2.0,0.008955300785601139,0.00983496,1.0,1.0,791.0,294.0,0.9464450478553772,0.8865096569061279,10.0,43.0,0.5814380049705505,0.7952755689620972,0.8088235259056091,297.0,117.0
28,0.9999465942382812,0.9972426295280457,2.0,1.0,0.008215277455747128,0.00982121,1.0,1.0,792.0,293.0,0.9408175349235535,0.9057815670967102,17.0,27.0,0.4201076626777649,0.7795275449752808,0.8088235259056091,313.0,110.0
29,0.994073212146759,0.9889705777168274,8.0,4.0,0.0454639233648777,0.00980699,0.9864406585693359,1.0,789.0,287.0,0.9135015606880188,0.8886509537696838,18.0,34.0,0.5574233531951904,0.748031497001648,0.0,306.0,109.0
30,0.9657319188117981,0.9310661554336548,40.0,35.0,0.21012738347053528,0.009792301,0.8847457766532898,0.8575031757354736,758.0,255.0,0.8920681476593018,0.8586723804473877,50.0,16.0,0.5323715209960938,0.6220472455024719,0.0,324.0,77.0
31,0.9905229806900024,0.966911792755127,16.0,20.0,0.10542939603328705,0.009777146,0.9728813767433167,0.9735183119773865,773.0,279.0,0.8930176496505737,0.8329764604568481,26.0,52.0,0.5746615529060364,0.6614173054695129,0.4529411792755127,288.0,101.0
32,0.9855429530143738,0.9696691036224365,21.0,12.0,0.11078665405511856,0.009761528,0.9661017060279846,0.9722572565078735,781.0,274.0,0.9064960479736328,0.8458244204521179,62.0,10.0,0.56125807762146,0.7086614370346069,0.0,330.0,65.0
33,0.9981875419616699,0.9898896813392639,8.0,3.0,0.03817293047904968,0.009745448,0.993220329284668,0.9974779486656189,790.0,287.0,0.9292844533920288,0.8950749635696411,37.0,12.0,0.4912870228290558,0.7244094610214233,0.0,328.0,90.0
34,0.9999400973320007,0.9990808963775635,1.0,0.0,0.009387115016579628,0.009728909,1.0,1.0,793.0,294.0,0.9253010749816895,0.8907923102378845,28.0,23.0,0.4876471757888794,0.748031497001648,0.0,317.0,99.0
35,0.9995704293251038,0.9917279481887817,5.0,4.0,0.02375011146068573,0.009711913,0.996610164642334,0.9987389445304871,789.0,290.0,0.9140228033065796,0.8822270035743713,46.0,9.0,0.5546442270278931,0.7795275449752808,0.0,331.0,81.0
36,0.9970056414604187,0.9898896813392639,7.0,4.0,0.03661753609776497,0.009694463,0.993220329284668,0.9974779486656189,789.0,288.0,0.9408406019210815,0.8372591137886047,7.0,69.0,0.6124709248542786,0.0,0.7411764860153198,271.0,120.0
37,0.9958556294441223,0.9797794222831726,12.0,10.0,0.06064831465482712,0.009676561,0.9864406585693359,0.9924337863922119,783.0,283.0,0.9027791023254395,0.8672376871109009,21.0,41.0,0.7166613936424255,0.0,0.0,299.0,106.0
38,0.9967512488365173,0.982536792755127,10.0,9.0,0.05168274790048599,0.00965821,0.989830493927002,0.994955837726593,784.0,285.0,0.9029181003570557,0.8822270035743713,35.0,20.0,0.5813972353935242,0.7007874250411987,0.0,320.0,92.0
39,0.9993245005607605,0.9908088445663452,5.0,5.0,0.030294295400381088,0.009639413,1.0,0.994955837726593,788.0,290.0,0.9324223399162292,0.897216260433197,14.0,34.0,0.48045364022254944,0.6299212574958801,0.7882353067398071,306.0,113.0
40,0.999953031539917,0.9963235259056091,4.0,0.0,0.011233657598495483,0.009620173,1.0,1.0,793.0,291.0,0.9285780787467957,0.9036402702331543,21.0,24.0,0.4925079941749573,0.7637795209884644,0.0,316.0,106.0
