epoch,AUC,accuracy,false_negatives,false_positives,loss,lr,sensitivity_at_specificity,specificity_at_sensitivity,true_negatives,true_positives,val_AUC,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_sensitivity_at_specificity,val_specificity_at_sensitivity,val_true_negatives,val_true_positives
0,0.6084746718406677,0.6709558963775635,228.0,130.0,0.6100706458091736,0.01,0.06101695075631142,0.13619168102741241,663.0,67.0,0.6893237829208374,0.7280513644218445,127.0,0.0,0.5783241987228394,0.18110236525535583,0.17058824002742767,340.0,0.0
1,0.7853549122810364,0.7775735259056091,196.0,46.0,0.476336807012558,0.01,0.31525424122810364,0.24464060366153717,747.0,99.0,0.7830129861831665,0.7280513644218445,127.0,0.0,0.5752525329589844,0.4015747904777527,0.17058824002742767,340.0,0.0
2,0.9031867384910583,0.857536792755127,110.0,45.0,0.34527507424354553,0.01,0.5966101884841919,0.50315260887146,748.0,185.0,0.9004168510437012,0.8650963306427002,44.0,19.0,0.38629332184791565,0.6299212574958801,0.44411763548851013,321.0,83.0
3,0.9428558349609375,0.890625,73.0,46.0,0.26641005277633667,0.01,0.7423728704452515,0.7402269840240479,747.0,222.0,0.918492317199707,0.8608136773109436,58.0,7.0,0.39743807911872864,0.7401574850082397,0.6499999761581421,333.0,69.0
4,0.9655524492263794,0.9181985259056091,51.0,38.0,0.2037871927022934,0.01,0.8271186351776123,0.8272383213043213,755.0,244.0,0.888235330581665,0.824411153793335,80.0,2.0,0.5940881967544556,0.6771653294563293,0.0,338.0,47.0
5,0.9762690663337708,0.9338235259056091,41.0,31.0,0.16727472841739655,0.01,0.8745762705802917,0.8865069150924683,762.0,254.0,0.876505434513092,0.8415417671203613,73.0,1.0,0.5330989360809326,0.6771653294563293,0.0,339.0,54.0
6,0.9685573577880859,0.9310661554336548,40.0,35.0,0.1952574998140335,0.01,0.8813559412956238,0.8852459192276001,758.0,255.0,0.9331866502761841,0.7922912240028381,9.0,88.0,0.49938416481018066,0.6771653294563293,0.6470588445663452,252.0,118.0
7,0.9750721454620361,0.9292279481887817,41.0,36.0,0.17719434201717377,0.01,0.8847457766532898,0.8978562355041504,757.0,254.0,0.9355604648590088,0.3725910186767578,1.0,292.0,1.6612119674682617,0.6771653294563293,0.6735293865203857,48.0,126.0
8,0.9843055605888367,0.953125,31.0,20.0,0.12509864568710327,0.01,0.9457626938819885,0.936948299407959,773.0,264.0,0.919488251209259,0.8800856471061707,45.0,11.0,0.4288775622844696,0.6850393414497375,0.0,329.0,82.0
9,0.9889883995056152,0.96875,18.0,16.0,0.10098486393690109,0.01,0.9559321999549866,0.9571248292922974,777.0,277.0,0.9298055768013,0.9079229235649109,35.0,8.0,0.3080398142337799,0.7637795209884644,0.0,332.0,92.0
10,0.9863808155059814,0.9604779481887817,20.0,23.0,0.1187371090054512,0.009995002,0.9491525292396545,0.9432534575462341,770.0,275.0,0.9583834409713745,0.9100642204284668,9.0,33.0,0.2729920744895935,0.874015748500824,0.7235293984413147,307.0,118.0
11,0.99310702085495,0.9751838445663452,15.0,12.0,0.08133292943239212,0.009989508,0.9728813767433167,0.9848675727844238,781.0,280.0,0.9243977665901184,0.8950749635696411,27.0,22.0,0.3682823181152344,0.7244094610214233,0.5882353186607361,318.0,100.0
12,0.9925984740257263,0.9724264740943909,16.0,14.0,0.07568861544132233,0.009983518,0.9830508232116699,0.9798234701156616,779.0,279.0,0.9307548999786377,0.9036402702331543,27.0,18.0,0.37421128153800964,0.7795275449752808,0.0,322.0,100.0
13,0.992301344871521,0.9659926295280457,21.0,16.0,0.08692162483930588,0.009977033,0.9694915413856506,0.9659520983695984,777.0,274.0,0.8863478302955627,0.8586723804473877,63.0,3.0,0.701093316078186,0.7637795209884644,0.0,337.0,64.0
14,0.9937930703163147,0.9724264740943909,14.0,16.0,0.07599709182977676,0.009970054,0.9728813767433167,0.9798234701156616,777.0,281.0,0.9300835728645325,0.8758029937744141,31.0,27.0,0.4278230667114258,0.6771653294563293,0.720588207244873,313.0,96.0
15,0.9851047992706299,0.96875,19.0,15.0,0.11281794309616089,0.009962582,0.9593220353126526,0.9646910429000854,778.0,276.0,0.9522464871406555,0.8608136773109436,10.0,55.0,0.36838865280151367,0.7716535329818726,0.7558823823928833,285.0,117.0
16,0.9911214709281921,0.9659926295280457,26.0,11.0,0.09938886761665344,0.009954618,0.9627118706703186,0.9684741497039795,782.0,269.0,0.9624478220939636,0.91862952709198,18.0,20.0,0.2674539089202881,0.8188976645469666,0.7882353067398071,320.0,109.0
17,0.9964948296546936,0.9871323704719543,9.0,5.0,0.044193655252456665,0.009946164,0.989830493927002,0.994955837726593,788.0,286.0,0.9048517346382141,0.8993576169013977,39.0,8.0,0.5052973628044128,0.7401574850082397,0.0,332.0,88.0
18,0.9949301481246948,0.9779411554336548,11.0,13.0,0.05984209477901459,0.00993722,0.989830493927002,0.9886506795883179,780.0,284.0,0.893886148929596,0.8822270035743713,47.0,8.0,0.6224865913391113,0.7244094610214233,0.0,332.0,80.0
19,0.9903584718704224,0.9696691036224365,19.0,14.0,0.09499790519475937,0.009927789,0.9694915413856506,0.9747793078422546,779.0,276.0,0.9209123849868774,0.8736616969108582,56.0,3.0,0.46650201082229614,0.7401574850082397,0.0,337.0,71.0
20,0.9898945093154907,0.9816176295280457,13.0,7.0,0.08135058730840683,0.009917871,0.9728813767433167,0.9924337863922119,786.0,282.0,0.9381659626960754,0.9079229235649109,33.0,10.0,0.32179543375968933,0.7559055089950562,0.0,330.0,94.0
21,0.9992624521255493,0.9935661554336548,3.0,4.0,0.03252223879098892,0.009907468,0.996610164642334,0.9987389445304871,789.0,292.0,0.9369732141494751,0.9079229235649109,30.0,13.0,0.4059528112411499,0.7952755689620972,0.0,327.0,97.0
22,0.9979609847068787,0.9963235259056091,3.0,1.0,0.017701653763651848,0.009896582,0.996610164642334,1.0,792.0,292.0,0.9233673214912415,0.8800856471061707,41.0,15.0,0.5182545185089111,0.7716535329818726,0.0,325.0,86.0
23,0.99875807762146,0.9880514740943909,8.0,5.0,0.036856699734926224,0.009885214,0.989830493927002,0.9987389445304871,788.0,287.0,0.9364519715309143,0.8758029937744141,13.0,45.0,0.5033391118049622,0.748031497001648,0.6941176652908325,295.0,114.0
24,0.9910957217216492,0.9659926295280457,18.0,19.0,0.10150152444839478,0.009873366,0.9661017060279846,0.9722572565078735,774.0,277.0,0.9212598204612732,0.6488222479820251,2.0,162.0,1.084505558013916,0.7165354490280151,0.658823549747467,178.0,125.0
25,0.9938187599182129,0.9852941036224365,13.0,3.0,0.05704274773597717,0.00986104,0.9864406585693359,0.9974779486656189,790.0,282.0,0.940296471118927,0.9057815670967102,22.0,22.0,0.337358683347702,0.7795275449752808,0.6088235378265381,318.0,105.0
26,0.997527003288269,0.9917279481887817,4.0,5.0,0.036849554628133774,0.009848237,0.996610164642334,0.9974779486656189,788.0,291.0,0.9404353499412537,0.9100642204284668,25.0,17.0,0.36479341983795166,0.8031495809555054,0.7323529124259949,323.0,102.0
